Gene_ID,Sample_Name,Mean_Expression
WBGene00220532,E,148.178932
WBGene00220532,MF_60DPI,3.36235525
WBGene00220532,MFL1_V18HPI,0
WBGene00220532,L2_V4DPI,0.5028925
WBGene00220532,L3_V8DPI,4.965213
WBGene00220532,L3_1DPI,1.420093
WBGene00220532,L4M_20DPIM,9.3951405
WBGene00220532,L4F_20DPIF,6.4991045
WBGene00220532,AM,9.297267
WBGene00220532,AF,192.1050298
WBGene00220896,E,11.0910975
WBGene00220896,MF_60DPI,15.8661045
WBGene00220896,MFL1_V18HPI,0
WBGene00220896,L2_V4DPI,0
WBGene00220896,L3_V8DPI,1.541943
WBGene00220896,L3_1DPI,4.952714
WBGene00220896,L4M_20DPIM,31.089309
WBGene00220896,L4F_20DPIF,34.556691
WBGene00220896,AM,24.6096895
WBGene00220896,AF,19.01994275
WBGene00220896,E,11.0910975
WBGene00220896,MF_60DPI,15.8661045
WBGene00220896,MFL1_V18HPI,0
WBGene00220896,L2_V4DPI,0
WBGene00220896,L3_V8DPI,1.541943
WBGene00220896,L3_1DPI,4.952714
WBGene00220896,L4M_20DPIM,31.089309
WBGene00220896,L4F_20DPIF,34.556691
WBGene00220896,AM,24.6096895
WBGene00220896,AF,19.01994275
WBGene00221451,E,4.316141
WBGene00221451,MF_60DPI,3.14182
WBGene00221451,MFL1_V18HPI,0
WBGene00221451,L2_V4DPI,0
WBGene00221451,L3_V8DPI,0
WBGene00221451,L3_1DPI,0.20833775
WBGene00221451,L4M_20DPIM,0.5132265
WBGene00221451,L4F_20DPIF,0.4848475
WBGene00221451,AM,4.086301
WBGene00221451,AF,3.178464
WBGene00221555,E,1.679368
WBGene00221555,MF_60DPI,4.8942185
WBGene00221555,MFL1_V18HPI,4.957245
WBGene00221555,L2_V4DPI,0.1302785
WBGene00221555,L3_V8DPI,0
WBGene00221555,L3_1DPI,0.0811015
WBGene00221555,L4M_20DPIM,0.0836635
WBGene00221555,L4F_20DPIF,0
WBGene00221555,AM,23.6882995
WBGene00221555,AF,1.06157475
WBGene00221555,E,1.679368
WBGene00221555,MF_60DPI,4.8942185
WBGene00221555,MFL1_V18HPI,4.957245
WBGene00221555,L2_V4DPI,0.1302785
WBGene00221555,L3_V8DPI,0
WBGene00221555,L3_1DPI,0.0811015
WBGene00221555,L4M_20DPIM,0.0836635
WBGene00221555,L4F_20DPIF,0
WBGene00221555,AM,23.6882995
WBGene00221555,AF,1.06157475
WBGene00221748,E,1.4439025
WBGene00221748,MF_60DPI,4.48852875
WBGene00221748,MFL1_V18HPI,0
WBGene00221748,L2_V4DPI,0
WBGene00221748,L3_V8DPI,0.998361
WBGene00221748,L3_1DPI,0.1655455
WBGene00221748,L4M_20DPIM,1.5941045
WBGene00221748,L4F_20DPIF,0.803855
WBGene00221748,AM,11.1112295
WBGene00221748,AF,5.2533815
WBGene00222598,E,1.487639
WBGene00222598,MF_60DPI,0.21656025
WBGene00222598,MFL1_V18HPI,0
WBGene00222598,L2_V4DPI,0
WBGene00222598,L3_V8DPI,1.0927655
WBGene00222598,L3_1DPI,0.99022775
WBGene00222598,L4M_20DPIM,0.1981085
WBGene00222598,L4F_20DPIF,0
WBGene00222598,AM,1.0020685
WBGene00222598,AF,1.9146285
WBGene00222862,E,10.974071
WBGene00222862,MF_60DPI,2.5102385
WBGene00222862,MFL1_V18HPI,0
WBGene00222862,L2_V4DPI,4.0204235
WBGene00222862,L3_V8DPI,12.669183
WBGene00222862,L3_1DPI,2.11021275
WBGene00222862,L4M_20DPIM,2.6126885
WBGene00222862,L4F_20DPIF,2.499782
WBGene00222862,AM,17.561987
WBGene00222862,AF,23.949682
WBGene00222862,E,10.974071
WBGene00222862,MF_60DPI,2.5102385
WBGene00222862,MFL1_V18HPI,0
WBGene00222862,L2_V4DPI,4.0204235
WBGene00222862,L3_V8DPI,12.669183
WBGene00222862,L3_1DPI,2.11021275
WBGene00222862,L4M_20DPIM,2.6126885
WBGene00222862,L4F_20DPIF,2.499782
WBGene00222862,AM,17.561987
WBGene00222862,AF,23.949682
WBGene00223011,E,4.796505
WBGene00223011,MF_60DPI,3.4458405
WBGene00223011,MFL1_V18HPI,0
WBGene00223011,L2_V4DPI,0.887635
WBGene00223011,L3_V8DPI,1.5138155
WBGene00223011,L3_1DPI,0.327117
WBGene00223011,L4M_20DPIM,1.1794965
WBGene00223011,L4F_20DPIF,0.6494125
WBGene00223011,AM,4.4478925
WBGene00223011,AF,3.69812175
WBGene00223053,E,0.470665
WBGene00223053,MF_60DPI,3.0190825
WBGene00223053,MFL1_V18HPI,0
WBGene00223053,L2_V4DPI,0
WBGene00223053,L3_V8DPI,0.3399045
WBGene00223053,L3_1DPI,0.1443795
WBGene00223053,L4M_20DPIM,0.624485
WBGene00223053,L4F_20DPIF,0.068941
WBGene00223053,AM,0.0565385
WBGene00223053,AF,0.48759375
WBGene00223066,E,3.9473185
WBGene00223066,MF_60DPI,6.48841325
WBGene00223066,MFL1_V18HPI,0
WBGene00223066,L2_V4DPI,0
WBGene00223066,L3_V8DPI,3.6224805
WBGene00223066,L3_1DPI,1.863591
WBGene00223066,L4M_20DPIM,25.1588935
WBGene00223066,L4F_20DPIF,23.2337685
WBGene00223066,AM,63.894754
WBGene00223066,AF,12.0631105
WBGene00223066,E,3.9473185
WBGene00223066,MF_60DPI,6.48841325
WBGene00223066,MFL1_V18HPI,0
WBGene00223066,L2_V4DPI,0
WBGene00223066,L3_V8DPI,3.6224805
WBGene00223066,L3_1DPI,1.863591
WBGene00223066,L4M_20DPIM,25.1588935
WBGene00223066,L4F_20DPIF,23.2337685
WBGene00223066,AM,63.894754
WBGene00223066,AF,12.0631105
WBGene00223145,E,0.981755
WBGene00223145,MF_60DPI,1.11733825
WBGene00223145,MFL1_V18HPI,0
WBGene00223145,L2_V4DPI,0
WBGene00223145,L3_V8DPI,0
WBGene00223145,L3_1DPI,0
WBGene00223145,L4M_20DPIM,0
WBGene00223145,L4F_20DPIF,0.067145
WBGene00223145,AM,0.073129
WBGene00223145,AF,0.50684375
WBGene00223192,E,0.6176755
WBGene00223192,MF_60DPI,2.4309555
WBGene00223192,MFL1_V18HPI,0
WBGene00223192,L2_V4DPI,1.281056
WBGene00223192,L3_V8DPI,0.9483605
WBGene00223192,L3_1DPI,0.57042775
WBGene00223192,L4M_20DPIM,0.150787
WBGene00223192,L4F_20DPIF,0.0180505
WBGene00223192,AM,0.133552
WBGene00223192,AF,0.0851915
WBGene00223633,E,7.9717915
WBGene00223633,MF_60DPI,9.42481575
WBGene00223633,MFL1_V18HPI,40.5069235
WBGene00223633,L2_V4DPI,13.1110915
WBGene00223633,L3_V8DPI,10.3983225
WBGene00223633,L3_1DPI,1.807112
WBGene00223633,L4M_20DPIM,9.51451
WBGene00223633,L4F_20DPIF,6.6902515
WBGene00223633,AM,3.6909105
WBGene00223633,AF,10.4431065
WBGene00223717,E,6.0020075
WBGene00223717,MF_60DPI,2.21949075
WBGene00223717,MFL1_V18HPI,0
WBGene00223717,L2_V4DPI,17.596944
WBGene00223717,L3_V8DPI,2.8208265
WBGene00223717,L3_1DPI,1.09945625
WBGene00223717,L4M_20DPIM,2.783739
WBGene00223717,L4F_20DPIF,2.719902
WBGene00223717,AM,1.431912
WBGene00223717,AF,3.79907475
WBGene00224026,E,1.1847485
WBGene00224026,MF_60DPI,2.910176
WBGene00224026,MFL1_V18HPI,0
WBGene00224026,L2_V4DPI,0.4063775
WBGene00224026,L3_V8DPI,1.2269955
WBGene00224026,L3_1DPI,1.2359725
WBGene00224026,L4M_20DPIM,2.4574195
WBGene00224026,L4F_20DPIF,1.485457
WBGene00224026,AM,3.8205595
WBGene00224026,AF,1.054164
WBGene00224765,E,5.99425
WBGene00224765,MF_60DPI,1.4329955
WBGene00224765,MFL1_V18HPI,9.544729
WBGene00224765,L2_V4DPI,12.020157
WBGene00224765,L3_V8DPI,3.0100285
WBGene00224765,L3_1DPI,1.21563225
WBGene00224765,L4M_20DPIM,1.68403
WBGene00224765,L4F_20DPIF,2.5016845
WBGene00224765,AM,0.2280985
WBGene00224765,AF,4.94411225
WBGene00224769,E,9.656895
WBGene00224769,MF_60DPI,9.674349
WBGene00224769,MFL1_V18HPI,0
WBGene00224769,L2_V4DPI,0
WBGene00224769,L3_V8DPI,1.8866055
WBGene00224769,L3_1DPI,2.25500825
WBGene00224769,L4M_20DPIM,18.076793
WBGene00224769,L4F_20DPIF,27.8638335
WBGene00224769,AM,9.8834685
WBGene00224769,AF,16.42248675
WBGene00224844,E,0.0301425
WBGene00224844,MF_60DPI,0.01425025
WBGene00224844,MFL1_V18HPI,0
WBGene00224844,L2_V4DPI,0
WBGene00224844,L3_V8DPI,0
WBGene00224844,L3_1DPI,0
WBGene00224844,L4M_20DPIM,0
WBGene00224844,L4F_20DPIF,0
WBGene00224844,AM,0.372976
WBGene00224844,AF,0
WBGene00224978,E,0.1832265
WBGene00224978,MF_60DPI,4.4724135
WBGene00224978,MFL1_V18HPI,0
WBGene00224978,L2_V4DPI,0.2938385
WBGene00224978,L3_V8DPI,0.9354915
WBGene00224978,L3_1DPI,0.286342
WBGene00224978,L4M_20DPIM,2.942261
WBGene00224978,L4F_20DPIF,0.4939425
WBGene00224978,AM,0.723268
WBGene00224978,AF,0.26703975
WBGene00225133,E,0.630971
WBGene00225133,MF_60DPI,4.1945315
WBGene00225133,MFL1_V18HPI,0
WBGene00225133,L2_V4DPI,0
WBGene00225133,L3_V8DPI,1.778592
WBGene00225133,L3_1DPI,0.57652475
WBGene00225133,L4M_20DPIM,3.647479
WBGene00225133,L4F_20DPIF,4.144934
WBGene00225133,AM,6.290229
WBGene00225133,AF,1.150113
WBGene00225526,E,0.51936
WBGene00225526,MF_60DPI,0.48190725
WBGene00225526,MFL1_V18HPI,0
WBGene00225526,L2_V4DPI,0
WBGene00225526,L3_V8DPI,1.079615
WBGene00225526,L3_1DPI,0.018103
WBGene00225526,L4M_20DPIM,0.0935445
WBGene00225526,L4F_20DPIF,0.059291
WBGene00225526,AM,0.2789725
WBGene00225526,AF,0.3036335
WBGene00225652,E,48.083767
WBGene00225652,MF_60DPI,6.44298375
WBGene00225652,MFL1_V18HPI,7.3787785
WBGene00225652,L2_V4DPI,61.7684445
WBGene00225652,L3_V8DPI,18.7103595
WBGene00225652,L3_1DPI,1.69437275
WBGene00225652,L4M_20DPIM,1.824095
WBGene00225652,L4F_20DPIF,1.661802
WBGene00225652,AM,2.33147
WBGene00225652,AF,22.45339725
WBGene00226065,E,9.8156895
WBGene00226065,MF_60DPI,8.4941945
WBGene00226065,MFL1_V18HPI,0
WBGene00226065,L2_V4DPI,6.136669
WBGene00226065,L3_V8DPI,8.81542
WBGene00226065,L3_1DPI,0.66242825
WBGene00226065,L4M_20DPIM,2.1064245
WBGene00226065,L4F_20DPIF,1.3455915
WBGene00226065,AM,2.5399125
WBGene00226065,AF,6.7199085
WBGene00226126,E,0.3688245
WBGene00226126,MF_60DPI,0
WBGene00226126,MFL1_V18HPI,0
WBGene00226126,L2_V4DPI,0
WBGene00226126,L3_V8DPI,0
WBGene00226126,L3_1DPI,0
WBGene00226126,L4M_20DPIM,0
WBGene00226126,L4F_20DPIF,0
WBGene00226126,AM,0.328346
WBGene00226126,AF,0.0752765
WBGene00226304,E,21.7783895
WBGene00226304,MF_60DPI,12.137491
WBGene00226304,MFL1_V18HPI,0
WBGene00226304,L2_V4DPI,33.322708
WBGene00226304,L3_V8DPI,80.6519925
WBGene00226304,L3_1DPI,17.664376
WBGene00226304,L4M_20DPIM,105.4677885
WBGene00226304,L4F_20DPIF,86.860214
WBGene00226304,AM,66.099205
WBGene00226304,AF,35.34382525
WBGene00226304,E,21.7783895
WBGene00226304,MF_60DPI,12.137491
WBGene00226304,MFL1_V18HPI,0
WBGene00226304,L2_V4DPI,33.322708
WBGene00226304,L3_V8DPI,80.6519925
WBGene00226304,L3_1DPI,17.664376
WBGene00226304,L4M_20DPIM,105.4677885
WBGene00226304,L4F_20DPIF,86.860214
WBGene00226304,AM,66.099205
WBGene00226304,AF,35.34382525
WBGene00226304,E,21.7783895
WBGene00226304,MF_60DPI,12.137491
WBGene00226304,MFL1_V18HPI,0
WBGene00226304,L2_V4DPI,33.322708
WBGene00226304,L3_V8DPI,80.6519925
WBGene00226304,L3_1DPI,17.664376
WBGene00226304,L4M_20DPIM,105.4677885
WBGene00226304,L4F_20DPIF,86.860214
WBGene00226304,AM,66.099205
WBGene00226304,AF,35.34382525
WBGene00226660,E,1.10949
WBGene00226660,MF_60DPI,2.22753725
WBGene00226660,MFL1_V18HPI,0
WBGene00226660,L2_V4DPI,0
WBGene00226660,L3_V8DPI,6.8742205
WBGene00226660,L3_1DPI,2.492132
WBGene00226660,L4M_20DPIM,11.532368
WBGene00226660,L4F_20DPIF,6.8459345
WBGene00226660,AM,1.734926
WBGene00226660,AF,0.38997775
WBGene00227227,E,5.817202
WBGene00227227,MF_60DPI,9.85779225
WBGene00227227,MFL1_V18HPI,0
WBGene00227227,L2_V4DPI,2.007548
WBGene00227227,L3_V8DPI,12.552496
WBGene00227227,L3_1DPI,2.86977875
WBGene00227227,L4M_20DPIM,12.908382
WBGene00227227,L4F_20DPIF,9.278213
WBGene00227227,AM,34.710766
WBGene00227227,AF,7.9391655
WBGene00228361,E,24.0444205
WBGene00228361,MF_60DPI,8.40505725
WBGene00228361,MFL1_V18HPI,0
WBGene00228361,L2_V4DPI,2.8721175
WBGene00228361,L3_V8DPI,11.558498
WBGene00228361,L3_1DPI,2.34010525
WBGene00228361,L4M_20DPIM,15.4665165
WBGene00228361,L4F_20DPIF,13.5964675
WBGene00228361,AM,32.806763
WBGene00228361,AF,32.22363025
WBGene00229262,E,20.9376585
WBGene00229262,MF_60DPI,20.84411275
WBGene00229262,MFL1_V18HPI,0
WBGene00229262,L2_V4DPI,0
WBGene00229262,L3_V8DPI,3.2239335
WBGene00229262,L3_1DPI,0.7436315
WBGene00229262,L4M_20DPIM,1.484877
WBGene00229262,L4F_20DPIF,1.37796
WBGene00229262,AM,2.4756835
WBGene00229262,AF,5.357194
WBGene00229263,E,5.4960385
WBGene00229263,MF_60DPI,4.019486
WBGene00229263,MFL1_V18HPI,0
WBGene00229263,L2_V4DPI,0
WBGene00229263,L3_V8DPI,6.396228
WBGene00229263,L3_1DPI,0.1639655
WBGene00229263,L4M_20DPIM,2.99285
WBGene00229263,L4F_20DPIF,11.7888305
WBGene00229263,AM,1.7564985
WBGene00229263,AF,3.4894275
WBGene00229370,E,12.458433
WBGene00229370,MF_60DPI,2.97413875
WBGene00229370,MFL1_V18HPI,0
WBGene00229370,L2_V4DPI,9.9921565
WBGene00229370,L3_V8DPI,6.012419
WBGene00229370,L3_1DPI,5.3412055
WBGene00229370,L4M_20DPIM,18.5867365
WBGene00229370,L4F_20DPIF,14.978165
WBGene00229370,AM,14.735712
WBGene00229370,AF,15.2769695
WBGene00229491,E,0.4126575
WBGene00229491,MF_60DPI,0.7738165
WBGene00229491,MFL1_V18HPI,0
WBGene00229491,L2_V4DPI,0
WBGene00229491,L3_V8DPI,0
WBGene00229491,L3_1DPI,0
WBGene00229491,L4M_20DPIM,0.0797835
WBGene00229491,L4F_20DPIF,0
WBGene00229491,AM,2.174204
WBGene00229491,AF,0.40890675
WBGene00230031,E,3.541432
WBGene00230031,MF_60DPI,2.27985575
WBGene00230031,MFL1_V18HPI,0
WBGene00230031,L2_V4DPI,0
WBGene00230031,L3_V8DPI,5.9064655
WBGene00230031,L3_1DPI,0.172366
WBGene00230031,L4M_20DPIM,2.045084
WBGene00230031,L4F_20DPIF,6.8981345
WBGene00230031,AM,1.061416
WBGene00230031,AF,2.60845425
WBGene00230151,E,4.9126545
WBGene00230151,MF_60DPI,1.5675855
WBGene00230151,MFL1_V18HPI,0
WBGene00230151,L2_V4DPI,0
WBGene00230151,L3_V8DPI,0.12133
WBGene00230151,L3_1DPI,0.3940475
WBGene00230151,L4M_20DPIM,1.612112
WBGene00230151,L4F_20DPIF,1.0914295
WBGene00230151,AM,7.9865
