Well,Code,MD5-lite,Eric,Nic,Zach
A0001,AMHTQM,NA,4,4,4
A0002,EPJSXB,NA,4,1,2
A0003,SXZRTL,NA,5,3,4
A0004,VKBTKE,NA,4,1,1
A0005,ASDFDI,NA,3,0,1
B0001,FHIYZB,NA,4,3,3
B0002,DYYGZA,NA,4,4,5
B0003,ETZBOM,NA,3,2,4
B0004,MFFWYG,NA,5,2,5
B0005,ZXCVUPO,NA,4,3,2
C0001,GKNGGK,NA,2,0,0
C0002,RWAOZM,NA,5,5,4
C0003,QMVKMZ,NA,4,5,4
C0004,QIUBMD,NA,4,4,5
C0005,XCAPOIH,NA,2,1,2
D0001,LTWAHD,NA,1,1,1
D0002,DCSEQD,NA,4,4,4
D0003,FDAEXW,NA,4,5,4
D0004,NSWBJZ,NA,4,3,3
D0005,ASDFINA,NA,0,1,1
E0001,WAGTRQ,NA,3,3,1
E0002,MBHPXL,NA,2,1,3
E0003,DHXLGB,NA,3,0,4
E0004,THHVXB,NA,5,4,3
E0005,ASDFICJH,NA,2,0,0
F0001,NGGNJA,NA,3,0,2
F0002,EHVNYH,NA,3,1,2
F0003,FUNJEN,NA,3,0,1
F0004,APBBXU,NA,1,0,0
F0005,ASDFIOS,NA,1,0,2
