Well,Code,MD5-lite,Nic,Zach,Eric
A0001,GCQZRC,NA,0,0,1
A0002,VSTJPE,NA,0,1,2
A0003,QGPEYY,NA,0,2,2
A0004,WGFTHN,NA,1,3,3
B0001,CSTTAC,NA,2,3,3
B0002,DNPBEX,NA,1,4,4
B0003,WNQVCP,NA,2,4,4
B0004,BJPACF,NA,3,3,3
C0001,PZHSGL,NA,5,5,3
C0002,AWUDZG,NA,4,5,4
C0003,KTHUNU,NA,5,5,5
C0004,PHHPZH,NA,2,3,3
D0001,YWKKZB,NA,2,4,4
D0002,XTFRLN,NA,4,4,4
D0003,FEZNPN,NA,5,4,4
D0004,WEMGLQ,NA,3,5,3
E0001,ZHHKRG,NA,0,3,2
E0002,BKEWHD,NA,4,4,4
E0003,MRVHNN,NA,5,5,4
E0004,HSFSNU,NA,2,2,3
F0001,WNMTMY,NA,1,0,4
F0002,YXZWBL,NA,3,1,2
F0003,UGKCJN,NA,3,1,4
F0004,AXLQJA,NA,1,3,3
