Well,Code,MD5-lite,Tran,Eric,Zach
A0001,AMHTQM,NA,2,2,4
A0002,EPJSXB,NA,5,4,4
A0003,SXZRTL,NA,5,5,4
A0004,VKBTKE,NA,0,1,0
B0001,FHIYZB,NA,2,4,5
B0002,DYYGZA,NA,4,5,5
B0003,ETZBOM,NA,4,5,5
B0004,MFFWYG,NA,3,3,5
C0001,GKNGGK,NA,2,2,3
C0002,RWAOZM,NA,4,4,5
C0003,QMVKMZ,NA,4,5,5
C0004,QIUBMD,NA,3,3,3
D0001,LTWAHD,NA,2,0,2
D0002,DCSEQD,NA,3,4,4
D0003,FDAEXW,NA,4,5,4
D0004,NSWBJZ,NA,4,5,4
E0001,WAGTRQ,NA,1,2,2
E0002,MBHPXL,NA,3,4,5
E0003,DHXLGB,NA,3,4,4
E0004,THHVXB,NA,3,4,3
F0001,NGGNJA,NA,1,1,3
F0002,EHVNYH,NA,0,0,2
F0003,FUNJEN,NA,0,4,4
F0004,APBBXU,NA,2,3,3
