Well,Total.Motility,Normalization.Factor,Normalized.Motility
A0001,29364465.78372889,26391,1112.669689808226
A0002,64166164.201375574,53597,1197.196936421359
A0003,42842559.68515308,42282,1013.2576435635278
A0004,51097355.13648765,44746,1141.942411310232
B0001,38554482.91332677,32535,1185.0156112902034
B0002,54691459.90442948,42905,1274.7106375580813
B0003,42900790.52020428,34060,1259.5651943688868
B0004,55631875.84224289,46414,1198.60119451551
C0001,46143149.924151435,35267,1308.394530982262
C0002,39756731.93721665,28188,1410.4133651630711
C0003,55311097.77889527,39322,1406.6196474974636
C0004,50316723.9826833,43731,1150.5962356836867
D0001,30756835.23414831,35027,878.0893377722416
D0002,51770346.99554717,43900,1179.2789748416212
D0003,59997299.67174221,45313,1324.0637272249069
D0004,34779347.431193456,29191,1191.4407670581156
E0001,59896948.69165249,56292,1064.0401600876232
E0002,56071093.12865457,40696,1377.80354650714
E0003,39503190.56309387,34936,1130.7302084695978
E0004,35725095.01809526,32544,1097.7475116179714
F0001,21721048.40441107,19553,1110.8806016678295
F0002,41787783.256853126,37999,1099.7074464289356
F0003,14655042.545251865,11821,1239.7464296803878
F0004,57489363.02271819,55425,1037.2460626561694
