Date,Strain,Cue,Control,Cue_N,Control_N,Outside,Total,Notes
20181217,N2,Diacetyl,Ethanol,24,4,18,46,6 cm NGM
20181217,N2,Diacetyl,Ethanol,22,1,4,27,6 cm NGM
20181217,N2,Diacetyl,Ethanol,37,0,5,42,6 cm NGM
20181217,N2,Diacetyl,Ethanol,35,6,10,51,6 cm NGM
20181217,N2,Diacetyl,Ethanol,14,3,3,20,6 cm NGM
20181217,CX10,Diacetyl,Ethanol,7,10,11,28,6 cm NGM
20181217,CX10,Diacetyl,Ethanol,13,2,11,26,6 cm NGM
20181217,CX10,Diacetyl,Ethanol,8,2,18,28,6 cm NGM
20181217,CX10,Diacetyl,Ethanol,6,3,8,17,6 cm NGM
20181217,CX10,Diacetyl,Ethanol,9,3,15,27,6 cm NGM
20181217,ZAM13,Diacetyl,Ethanol,68,20,23,111,6 cm NGM
20181217,ZAM13,Diacetyl,Ethanol,5,4,7,16,6 cm NGM
20181217,ZAM13,Diacetyl,Ethanol,72,18,26,116,6 cm NGM
20181217,ZAM13,Diacetyl,Ethanol,9,6,7,22,6 cm NGM
20181217,ZAM13,Diacetyl,Ethanol,11,3,10,24,6 cm NGM
20181217,ZAM13,Diacetyl,Ethanol,17,5,13,35,6 cm NGM
20181217,ZAM13,Diacetyl,Ethanol,11,2,12,25,6 cm NGM
20181217,ZAM13,Diacetyl,Ethanol,7,1,9,17,6 cm NGM
20181217,ZAM13,Diacetyl,Ethanol,14,2,6,22,6 cm NGM
20181218,N2,Diacetyl,Ethanol,13,1,2,16,6 cm NGM
20181218,N2,Diacetyl,Ethanol,6,4,0,10,6 cm NGM
20181218,N2,Diacetyl,Ethanol,18,1,2,21,6 cm NGM
20181218,N2,Diacetyl,Ethanol,26,0,0,26,6 cm NGM
20181218,N2,Diacetyl,Ethanol,46,2,4,52,6 cm NGM
20181218,CX10,Diacetyl,Ethanol,20,14,8,42,6 cm NGM
20181218,CX10,Diacetyl,Ethanol,6,9,2,17,6 cm NGM
20181218,CX10,Diacetyl,Ethanol,8,17,3,28,6 cm NGM
20181218,CX10,Diacetyl,Ethanol,15,17,-28,4,6 cm NGM
20181218,CX10,Diacetyl,Ethanol,19,3,9,31,6 cm NGM
20181218,ZAM13,Diacetyl,Ethanol,5,12,9,26,6 cm NGM
20181218,ZAM13,Diacetyl,Ethanol,13,1,16,30,6 cm NGM
20181218,ZAM13,Diacetyl,Ethanol,11,5,2,18,6 cm NGM
20181218,ZAM13,Diacetyl,Ethanol,4,4,3,11,6 cm NGM
20181218,ZAM13,Diacetyl,Ethanol,11,14,12,37,6 cm NGM
20181218,ZAM13,Diacetyl,Ethanol,5,11,4,20,6 cm NGM
20181218,ZAM13,Diacetyl,Ethanol,6,2,7,15,6 cm NGM
20181221,N2,Diacetyl,Ethanol,11,0,0,11,6 cm NGM
20181221,N2,Diacetyl,Ethanol,19,5,2,26,6 cm NGM
20181221,N2,Diacetyl,Ethanol,5,0,0,5,6 cm NGM
20181221,N2,Diacetyl,Ethanol,40,0,2,42,6 cm NGM
20181221,N2,Diacetyl,Ethanol,5,1,0,6,6 cm NGM
20181221,CX10,Diacetyl,Ethanol,29,4,3,36,6 cm NGM
20181221,CX10,Diacetyl,Ethanol,31,2,7,40,6 cm NGM
20181221,CX10,Diacetyl,Ethanol,4,4,3,11,6 cm NGM
20181221,CX10,Diacetyl,Ethanol,28,4,2,34,6 cm NGM
20181221,CX10,Diacetyl,Ethanol,37,1,9,47,6 cm NGM
20181221,ZAM13,Diacetyl,Ethanol,13,4,7,24,6 cm NGM
20181221,ZAM13,Diacetyl,Ethanol,3,3,6,12,6 cm NGM
20181221,ZAM13,Diacetyl,Ethanol,5,6,2,13,6 cm NGM
20181221,ZAM13,Diacetyl,Ethanol,5,5,6,16,6 cm NGM
20181221,ZAM13,Diacetyl,Ethanol,5,5,7,17,6 cm NGM
20190112,N2,Diacetyl,Ethanol,59,10,86,155,10 cm CTX
20190112,N2,Diacetyl,Ethanol,83,6,69,158,10 cm CTX
20190112,N2,Diacetyl,Ethanol,59,4,55,118,10 cm CTX
