Well	Well Location	Target	Reporter Dye	Reading 1	Reading 2	Reading 3	Reading 4	Reading 5	Reading 6	Reading 7	Reading 8	Reading 9	Reading 10	Reading 11	Reading 12	Reading 13	Reading 14
1	A1	GAPDH	SYBR	1763.6099	1849.1748	1631.0242	1624.2587	1727.2145	1943.3811	2357.96	11435.8955	475.8596	458.7263	429.8132	384.8254	330.2937	330.2937
2	A2	GAPDH	SYBR	3417.4546	2897.8518	2584.5315	2401.4143	2472.7969	2675.844	3395.2266	15201.6074	729.9361	634.8225	599.392	542.8519	485.2961	485.299
3	A3	GAPDH	SYBR	2511.1587	2326.0603	2087.8159	2030.1915	2262.6733	2463.1379	3568.4885	14717.6133	575.5505	510.9056	481.4469	446.6763	406.9272	406.9297
4	A4	GAPDH	SYBR	2823.2778	2694.9219	2331.2966	2226.9392	2310.4551	2498.7205	3659.1768	13303.4961	544.6861	512.1793	480.8849	439.0953	404.8684	404.8708
5	A5	GAPDH	SYBR	3143.5376	2966.7605	2705.6292	2642.2722	2751.7283	2952.4075	4778.2207	15456.1006	669.8299	590.3192	562.144	503.5736	446.3066	446.3066
6	A6	GAPDH	SYBR	2636.813	2487.1699	2120.2795	2102.8977	2137.718	2262.9802	3850.4265	11035.1719	501.6535	438.2006	443.0664	412.0765	354.1724	354.1745
7	A7	GAPDH	SYBR	3541.1641	3148.1685	2950.938	2929.387	3046.1875	3440.3604	7819.6455	14897.7871	818.6825	730.0455	681.5164	640.9775	544.2642	544.2673
8	A8	GAPDH	SYBR	3314.968	3289.9365	3092.2002	3176.2981	3442.8506	3712.8247	9363.9707	15106.1758	802.8978	708.9265	669.1496	618.3353	503.5025	503.5052
9	A9	GAPDH	SYBR	2322.947	2261.6335	2475.2849	2711.5542	2948.626	3203.8691	8915.1855	12174.4561	802.4865	764.5032	703.7142	689.6385	566.905	566.9017
10	A10	GAPDH	SYBR	2526.5156	2429.4675	2407.9814	2724.0706	3236.3289	3506.53	10326.4209	13126.0039	911.9563	865.1501	809.8842	758.4632	678.0679	678.0683
11	A11	GAPDH	SYBR	1242.093	1360.8788	1250.3118	1253.0166	1568.8381	1506.0642	6295.9082	6072.0757	345.8136	334.6979	339.3878	294.3447	263.0401	263.0401
12	A12	GAPDH	SYBR	1210.2078	1174.9823	1124.6802	1192.8805	1350.3553	1459.6334	6118.8979	5016.6831	260.9197	294.7902	287.6536	261.1999	256.7658	256.7639
13	B1	GAPDH	SYBR	2173.6843	1910.0055	1786.363	1558.5759	1799.9436	1956.3776	2666.1638	13272.1152	576.3027	433.649	406.2629	378.4397	333.2176	333.2195
14	B2	GAPDH	SYBR	3998.2454	3705.7456	3198.5166	2823.3789	2732.2109	3243.8025	4165.4683	17350.8438	746.8357	576.756	553.2247	509.36	459.6368	459.6367
15	B3	GAPDH	SYBR	2853.2114	2728.9827	2503.1536	2359.895	2357.1326	2689.343	4110.6006	16357.2451	625.7182	543.5652	492.451	450.021	408.6222	408.6198
16	B4	GAPDH	SYBR	2617.1045	3320.4158	2876.1155	2676.5098	2639.7366	3403.9302	5256.9883	19378.9824	682.7496	589.4041	570.0579	513.8785	472.6053	472.6025
17	B5	GAPDH	SYBR	3228.1162	3024.3938	2717.0952	2519.5769	2382.51	2424.4333	5256.1206	16193.7129	667.715	579.8503	540.9259	474.1225	423.1734	423.176
18	B6	GAPDH	SYBR	3278.2637	2934.2573	2645.3262	2499.1045	2642.1641	3418.7026	6057.207	16646.7656	666.9162	612.7894	572.0204	521.2204	474.2141	474.2113
19	B7	OSM-9	SYBR	4160.9961	4614.1191	4415.8149	4587.2217	4463.272	4419.4717	4940.562	22169.2969	728.6779	658.0202	629.1629	558.7111	466.4731	466.4704
20	B8	OSM-9	SYBR	3246.3845	3592.6802	4088.6975	4110.9551	4362.5015	4441.0005	5836.4497	25630.877	787.267	767.4689	731.9523	651.2909	561.2432	561.2465
21	B9	OSM-9	SYBR	2591.0901	2585.8948	3132.7832	3465.1355	3903.0044	4288.2725	6035.1714	29711.7266	789.9145	747.5447	752.9591	630.5114	584.8608	584.8616
22	B10	OSM-9	SYBR	2962.5134	3112.9089	3501.0029	4278.8066	4240.4404	4903.4082	7182.522	32131.6621	824.0704	771.7505	803.3715	676.7485	658.8368	658.8414
23	B11	OSM-9	SYBR	1490.0376	1239.1847	1425.1035	1559.9093	1407.6033	1597.0577	2497.1145	12103.8232	312.4248	278.8878	262.0023	240.9162	212.8243	212.8229
