Well	Cycle	Target Name	Rn	dRn
A1	1	GAPDH	0.2616	-0.0068
A1	2	GAPDH	0.2675	-0.0033
A1	3	GAPDH	0.2713	-0.0018
A1	4	GAPDH	0.2747	-0.0008
A1	5	GAPDH	0.2797	0.0019
A1	6	GAPDH	0.2807	0.0005
A1	7	GAPDH	0.2827	0.0002
A1	8	GAPDH	0.2844	-0.0005
A1	9	GAPDH	0.2877	0.0004
A1	10	GAPDH	0.2894	-0.0002
A1	11	GAPDH	0.2919	-0
A1	12	GAPDH	0.2948	0.0006
A1	13	GAPDH	0.2973	0.0007
A1	14	GAPDH	0.2992	0.0002
A1	15	GAPDH	0.3011	-0.0003
A1	16	GAPDH	0.3042	0.0005
A1	17	GAPDH	0.3057	-0.0004
A1	18	GAPDH	0.3084	-0
A1	19	GAPDH	0.3101	-0.0007
A1	20	GAPDH	0.3132	0.0001
A1	21	GAPDH	0.3147	-0.0008
A1	22	GAPDH	0.3171	-0.0007
A1	23	GAPDH	0.3213	0.0011
A1	24	GAPDH	0.3293	0.0068
A1	25	GAPDH	0.3412	0.0163
A1	26	GAPDH	0.3628	0.0356
A1	27	GAPDH	0.4033	0.0737
A1	28	GAPDH	0.4683	0.1364
A1	29	GAPDH	0.5698	0.2355
A1	30	GAPDH	0.6924	0.3558
A1	31	GAPDH	0.8068	0.4678
A1	32	GAPDH	0.9081	0.5668
A1	33	GAPDH	1.0009	0.6572
A1	34	GAPDH	1.0876	0.7415
A1	35	GAPDH	1.1675	0.8191
A1	36	GAPDH	1.2447	0.894
A1	37	GAPDH	1.3181	0.965
A1	38	GAPDH	1.3865	1.0311
A1	39	GAPDH	1.457	1.0992
A1	40	GAPDH	1.5224	1.1622
A2	1	GAPDH	0.3338	-0.0121
A2	2	GAPDH	0.3449	-0.0043
A2	3	GAPDH	0.3496	-0.0029
A2	4	GAPDH	0.3539	-0.0018
A2	5	GAPDH	0.3577	-0.0013
A2	6	GAPDH	0.3616	-0.0008
A2	7	GAPDH	0.3653	-0.0004
A2	8	GAPDH	0.3698	0.0009
A2	9	GAPDH	0.373	0.0008
A2	10	GAPDH	0.3777	0.0022
A2	11	GAPDH	0.3811	0.0023
A2	12	GAPDH	0.3843	0.0022
A2	13	GAPDH	0.3873	0.0019
A2	14	GAPDH	0.3909	0.0022
A2	15	GAPDH	0.3931	0.0012
A2	16	GAPDH	0.3955	0.0003
A2	17	GAPDH	0.3982	-0.0003
A2	18	GAPDH	0.4013	-0.0005
A2	19	GAPDH	0.4038	-0.0013
A2	20	GAPDH	0.4067	-0.0017
A2	21	GAPDH	0.4098	-0.0018
A2	22	GAPDH	0.4141	-0.0008
A2	23	GAPDH	0.4179	-0.0003
A2	24	GAPDH	0.425	0.0035
A2	25	GAPDH	0.4373	0.0126
A2	26	GAPDH	0.4584	0.0304
A2	27	GAPDH	0.5001	0.0688
A2	28	GAPDH	0.5646	0.13
A2	29	GAPDH	0.6621	0.2242
A2	30	GAPDH	0.7764	0.3352
A2	31	GAPDH	0.8799	0.4354
A2	32	GAPDH	0.9721	0.5243
A2	33	GAPDH	1.0578	0.6067
A2	34	GAPDH	1.1367	0.6823
A2	35	GAPDH	1.2098	0.7522
A2	36	GAPDH	1.2798	0.8188
A2	37	GAPDH	1.345	0.8808
A2	38	GAPDH	1.4087	0.9412
A2	39	GAPDH	1.4716	1.0008
A2	40	GAPDH	1.5306	1.0565
A3	1	GAPDH	0.3246	-0.0055
A3	2	GAPDH	0.3321	-0.0003
A3	3	GAPDH	0.3347	-0.0002
A3	4	GAPDH	0.3365	-0.0007
A3	5	GAPDH	0.3393	-0.0003
A3	6	GAPDH	0.3421	0.0001
A3	7	GAPDH	0.3457	0.0013
A3	8	GAPDH	0.3473	0.0005
A3	9	GAPDH	0.3504	0.0012
A3	10	GAPDH	0.3516	0.0001
A3	11	GAPDH	0.3537	-0.0002
A3	12	GAPDH	0.356	-0.0003
A3	13	GAPDH	0.3594	0.0008
A3	14	GAPDH	0.3598	-0.0012
A3	15	GAPDH	0.3631	-0.0004
A3	16	GAPDH	0.3649	-0.001
A3	17	GAPDH	0.3665	-0.0017
A3	18	GAPDH	0.3701	-0.0005
A3	19	GAPDH	0.3726	-0.0004
A3	20	GAPDH	0.3757	0.0003
A3	21	GAPDH	0.3801	0.0024
A3	22	GAPDH	0.386	0.0059
A3	23	GAPDH	0.3976	0.0151
A3	24	GAPDH	0.4189	0.034
A3	25	GAPDH	0.4531	0.0658
A3	26	GAPDH	0.5175	0.1279
A3	27	GAPDH	0.6146	0.2226
A3	28	GAPDH	0.7375	0.3431
A3	29	GAPDH	0.8527	0.4559
A3	30	GAPDH	0.9561	0.5569
A3	31	GAPDH	1.0492	0.6477
A3	32	GAPDH	1.1353	0.7314
A3	33	GAPDH	1.2139	0.8076
A3	34	GAPDH	1.2943	0.8856
A3	35	GAPDH	1.369	0.9579
A3	36	GAPDH	1.4395	1.0261
A3	37	GAPDH	1.5035	1.0876
A3	38	GAPDH	1.5682	1.15
A3	39	GAPDH	1.6328	1.2122
A3	40	GAPDH	1.6946	1.2716
A4	1	GAPDH	0.3295	-0.0059
A4	2	GAPDH	0.3409	0.0028
A4	3	GAPDH	0.3436	0.0029
A4	4	GAPDH	0.3441	0.0007
A4	5	GAPDH	0.3458	-0.0003
A4	6	GAPDH	0.3479	-0.0008
A4	7	GAPDH	0.3518	0.0004
A4	8	GAPDH	0.3535	-0.0005
A4	9	GAPDH	0.3579	0.0012
A4	10	GAPDH	0.3585	-0.0009
A4	11	GAPDH	0.3617	-0.0003
A4	12	GAPDH	0.364	-0.0007
A4	13	GAPDH	0.3672	-0.0001
A4	14	GAPDH	0.3695	-0.0005
A4	15	GAPDH	0.3717	-0.001
A4	16	GAPDH	0.3741	-0.0013
A4	17	GAPDH	0.3762	-0.0018
A4	18	GAPDH	0.3787	-0.002
A4	19	GAPDH	0.3809	-0.0025
A4	20	GAPDH	0.3866	0.0006
A4	21	GAPDH	0.3891	0.0004
A4	22	GAPDH	0.3978	0.0065
A4	23	GAPDH	0.4064	0.0124
A4	24	GAPDH	0.4282	0.0315
A4	25	GAPDH	0.461	0.0616
A4	26	GAPDH	0.5179	0.1159
A4	27	GAPDH	0.6079	0.2032
A4	28	GAPDH	0.7265	0.3191
A4	29	GAPDH	0.8396	0.4296
A4	30	GAPDH	0.9408	0.5281
A4	31	GAPDH	1.0324	0.6171
A4	32	GAPDH	1.1175	0.6995
A4	33	GAPDH	1.1994	0.7787
A4	34	GAPDH	1.2782	0.8548
A4	35	GAPDH	1.352	0.926
A4	36	GAPDH	1.4172	0.9885
A4	37	GAPDH	1.4821	1.0508
A4	38	GAPDH	1.5472	1.1132
A4	39	GAPDH	1.6065	1.1699
A4	40	GAPDH	1.6645	1.2252
A5	1	GAPDH	0.2751	-0.0069
A5	2	GAPDH	0.2846	-0.0003
A5	3	GAPDH	0.2887	0.0007
A5	4	GAPDH	0.2909	-0.0001
A5	5	GAPDH	0.2938	-0.0002
A5	6	GAPDH	0.2957	-0.0013
A5	7	GAPDH	0.2994	-0.0006
A5	8	GAPDH	0.3041	0.0011
A5	9	GAPDH	0.3063	0.0003
A5	10	GAPDH	0.3107	0.0017
A5	11	GAPDH	0.3119	-0.0001
A5	12	GAPDH	0.3155	0.0005
A5	13	GAPDH	0.3185	0.0005
A5	14	GAPDH	0.3201	-0.0009
A5	15	GAPDH	0.3246	0.0005
A5	16	GAPDH	0.3275	0.0005
A5	17	GAPDH	0.3284	-0.0017
A5	18	GAPDH	0.3313	-0.0018
A5	19	GAPDH	0.3348	-0.0013
A5	20	GAPDH	0.3369	-0.0022
A5	21	GAPDH	0.3428	0.0008
A5	22	GAPDH	0.3444	-0.0007
A5	23	GAPDH	0.3522	0.0041
A5	24	GAPDH	0.3618	0.0107
A5	25	GAPDH	0.3796	0.0255
A5	26	GAPDH	0.4119	0.0548
A5	27	GAPDH	0.4679	0.1078
A5	28	GAPDH	0.5568	0.1937
A5	29	GAPDH	0.6801	0.314
A5	30	GAPDH	0.8116	0.4425
A5	31	GAPDH	0.9302	0.5581
A5	32	GAPDH	1.0325	0.6574
A5	33	GAPDH	1.1246	0.7465
A5	34	GAPDH	1.2139	0.8328
A5	35	GAPDH	1.2963	0.9122
A5	36	GAPDH	1.3767	0.9896
A5	37	GAPDH	1.4493	1.0592
A5	38	GAPDH	1.5236	1.1305
A5	39	GAPDH	1.5975	1.2013
A5	40	GAPDH	1.6626	1.2635
A6	1	GAPDH	0.2845	0.0028
A6	2	GAPDH	0.2903	0.0062
A6	3	GAPDH	0.2918	0.0052
A6	4	GAPDH	0.2908	0.0017
A6	5	GAPDH	0.2914	-0.0002
A6	6	GAPDH	0.2924	-0.0016
A6	7	GAPDH	0.296	-0.0005
A6	8	GAPDH	0.2986	-0.0004
A6	9	GAPDH	0.3008	-0.0007
A6	10	GAPDH	0.3044	0.0004
A6	11	GAPDH	0.3052	-0.0012
A6	12	GAPDH	0.308	-0.001
A6	13	GAPDH	0.3099	-0.0015
A6	14	GAPDH	0.3136	-0.0003
A6	15	GAPDH	0.3148	-0.0015
A6	16	GAPDH	0.3178	-0.001
A6	17	GAPDH	0.3202	-0.0011
A6	18	GAPDH	0.3219	-0.0019
A6	19	GAPDH	0.3248	-0.0015
A6	20	GAPDH	0.3262	-0.0025
A6	21	GAPDH	0.3317	0.0004
A6	22	GAPDH	0.3372	0.0035
A6	23	GAPDH	0.3419	0.0057
A6	24	GAPDH	0.3508	0.0121
A6	25	GAPDH	0.3662	0.025
A6	26	GAPDH	0.4002	0.0566
A6	27	GAPDH	0.4511	0.105
A6	28	GAPDH	0.5346	0.186
A6	29	GAPDH	0.6541	0.303
A6	30	GAPDH	0.7839	0.4303
A6	31	GAPDH	0.8971	0.5411
A6	32	GAPDH	0.9966	0.6381
A6	33	GAPDH	1.0887	0.7277
A6	34	GAPDH	1.173	0.8096
A6	35	GAPDH	1.2547	0.8888
A6	36	GAPDH	1.3304	0.9619
A6	37	GAPDH	1.4047	1.0338
A6	38	GAPDH	1.4749	1.1015
A6	39	GAPDH	1.5452	1.1694
A6	40	GAPDH	1.6097	1.2314
A7	1	GAPDH	0.3413	-0.0103
A7	2	GAPDH	0.3554	0
A7	3	GAPDH	0.3605	0.0013
A7	4	GAPDH	0.3638	0.0009
A7	5	GAPDH	0.3678	0.0011
A7	6	GAPDH	0.3719	0.0014
A7	7	GAPDH	0.3753	0.0011
A7	8	GAPDH	0.3787	0.0007
A7	9	GAPDH	0.3826	0.0007
A7	10	GAPDH	0.3859	0.0002
A7	11	GAPDH	0.3893	-0.0001
A7	12	GAPDH	0.391	-0.0021
A7	13	GAPDH	0.3955	-0.0015
A7	14	GAPDH	0.3986	-0.0021
A7	15	GAPDH	0.4013	-0.0033
A7	16	GAPDH	0.4045	-0.0038
A7	17	GAPDH	0.4098	-0.0023
A7	18	GAPDH	0.4123	-0.0036
A7	19	GAPDH	0.4202	0.0006
A7	20	GAPDH	0.4236	0.0001
A7	21	GAPDH	0.4293	0.0021
A7	22	GAPDH	0.4396	0.0086
A7	23	GAPDH	0.4494	0.0146
A7	24	GAPDH	0.4691	0.0305
A7	25	GAPDH	0.5014	0.059
A7	26	GAPDH	0.5534	0.1073
A7	27	GAPDH	0.6359	0.186
A7	28	GAPDH	0.75	0.2963
A7	29	GAPDH	0.8785	0.421
A7	30	GAPDH	0.9931	0.5319
A7	31	GAPDH	1.0961	0.631
A7	32	GAPDH	1.1922	0.7233
A7	33	GAPDH	1.2799	0.8073
A7	34	GAPDH	1.3664	0.89
A7	35	GAPDH	1.4429	0.9628
A7	36	GAPDH	1.5193	1.0353
A7	37	GAPDH	1.5952	1.1075
A7	38	GAPDH	1.6692	1.1777
A7	39	GAPDH	1.7379	1.2426
A7	40	GAPDH	1.802	1.3029
A8	1	GAPDH	0.365	-0.0162
A8	2	GAPDH	0.3791	-0.0051
A8	3	GAPDH	0.386	-0.0014
A8	4	GAPDH	0.3894	-0.001
A8	5	GAPDH	0.3935	0.0001
A8	6	GAPDH	0.3963	-0.0002
A8	7	GAPDH	0.4001	0.0005
A8	8	GAPDH	0.4035	0.0009
A8	9	GAPDH	0.4066	0.0009
A8	10	GAPDH	0.4102	0.0015
A8	11	GAPDH	0.4128	0.001
A8	12	GAPDH	0.4158	0.0009
A8	13	GAPDH	0.4181	0.0002
A8	14	GAPDH	0.4208	-0.0002
A8	15	GAPDH	0.4244	0.0004
A8	16	GAPDH	0.4258	-0.0013
A8	17	GAPDH	0.4293	-0.0009
A8	18	GAPDH	0.4313	-0.0019
A8	19	GAPDH	0.4343	-0.0019
A8	20	GAPDH	0.4388	-0.0006
A8	21	GAPDH	0.4428	0.0004
A8	22	GAPDH	0.4481	0.0026
A8	23	GAPDH	0.4556	0.0071
A8	24	GAPDH	0.4715	0.0199
A8	25	GAPDH	0.4998	0.0451
A8	26	GAPDH	0.5532	0.0955
A8	27	GAPDH	0.634	0.1732
A8	28	GAPDH	0.7498	0.286
A8	29	GAPDH	0.8782	0.4113
A8	30	GAPDH	0.9964	0.5265
A8	31	GAPDH	1.1006	0.6276
A8	32	GAPDH	1.1954	0.7194
A8	33	GAPDH	1.2835	0.8044
A8	34	GAPDH	1.3704	0.8882
A8	35	GAPDH	1.4506	0.9654
