Well	Well Location	Target	Reporter Dye	Reading 1	Reading 2	Reading 3	Reading 4	Reading 5	Reading 6	Reading 7	Reading 8	Reading 9	Reading 10	Reading 11	Reading 12	Reading 13	Reading 14
1	A1	GAPDH	SYBR	67173.8203	62647.1562	57788.0742	53574.5039	49387.0078	44866.6914	39893.5977	33911.7031	4747.8682	3533.4229	2351.3291	1263.3904	278.8138	-592.6323
2	A2	GAPDH	SYBR	100088.4141	91316.8203	83702.1328	77025.2422	70834.1406	64362.5977	57515.0977	48901.7656	10134.6064	8271.7412	6635.8745	5118.6909	3729.8027	2449.3914
3	A3	GAPDH	SYBR	89647.625	83156.5234	77027.3672	71635.3828	66403.7812	60513.3633	54187.0234	45155.5352	7668.2451	6198.9214	4882.7798	3669.7297	2526.1033	1456.4103
4	A4	GAPDH	SYBR	89560.5234	82262.6406	75161.5078	69140.7188	63402.1094	57387.293	50969.5625	41708.5039	7823.1177	6432.5874	5113.1641	3901.5303	2777.3135	1713.0326
5	A5	GAPDH	SYBR	102620.2422	94552.3359	86716.2344	79762.5078	72958.375	65789.5547	58217.5312	46137.6836	6795.8047	5088.6763	3568.0747	2150.9634	866.7031	-308.9106
6	A6	GAPDH	SYBR	78381.0938	71613.7188	65044.3359	59595.0117	54179.8359	48610.6328	42806.7695	33072.4805	4983.6104	3705.0967	2576.3367	1459.415	408.4993	-524.4296
7	A7	GAPDH	SYBR	119338.1094	110213.9219	101892.0469	94302.5312	86764.3828	78837.3125	69998.3438	50222.4023	12276.1914	10188.7119	8293.0723	6589.2808	4950.6201	3515.8809
8	A8	GAPDH	SYBR	126170.5312	117629.1875	108932.5703	100979.7344	92806.1562	83846.8438	74307.8594	50626.3125	12149.3105	10102.0781	8261.2783	6588.4043	5007.6279	3680.3411
9	A9	GAPDH	SYBR	109104.4531	103124.4766	97148.5625	90777.9219	83798.0703	76104.5391	67887.2422	45345.168	14368.4453	12320.584	10337.5361	8575.083	6814.8501	5322.3647
10	A10	GAPDH	SYBR	120625.0391	114121.0156	107701.625	101504.2031	94492.1328	86047.9375	77054.375	50943.9883	17546.1445	15218.9277	12974.8125	10946.4678	9010.5557	7385.8657
11	A11	GAPDH	SYBR	55732.957	52531.3359	48934.5469	45726.7461	42504.1133	38403.3164	34555.7969	18656.7461	3135.8723	2257.9197	1386.3646	539.2157	-211.9525	-818.8441
12	A12	GAPDH	SYBR	48732.793	45613.3672	42507.8867	39622.4141	36554.4453	33024.7461	29295.8164	13843.7686	1020.6692	358.2453	-409.3851	-1127.3954	-1793.9779	-2323.9453
