Well	Well Location	Target	Reporter Dye	Reading 1	Reading 2	Reading 3	Reading 4	Reading 5	Reading 6	Reading 7	Reading 8	Reading 9	Reading 10	Reading 11	Reading 12	Reading 13	Reading 14
1	A1	GAPDH	SYBR	60.2008	62.7675	65.3952	67.9786	70.5567	73.1738	75.7328	78.2697	80.8199	83.372	85.9489	88.4801	91.0386	93.677
2	A2	GAPDH	SYBR	60.444	63.0107	65.6384	68.2218	70.7999	73.417	75.976	78.5129	81.0631	83.6152	86.1921	88.7233	91.2818	93.9202
3	A3	GAPDH	SYBR	60.5412	63.1261	65.7611	68.3437	70.9206	73.5239	76.0923	78.6232	81.1703	83.7232	86.2993	88.8189	91.3792	94.0079
4	A4	GAPDH	SYBR	60.778	63.3629	65.9979	68.5805	71.1574	73.7607	76.3291	78.86	81.4071	83.96	86.5361	89.0557	91.616	94.2447
5	A5	GAPDH	SYBR	60.8824	63.4489	66.0902	68.6603	71.2354	73.8406	76.4053	78.9334	81.4788	84.0274	86.6033	89.1242	91.6745	94.3086
6	A6	GAPDH	SYBR	61.1167	63.6832	66.3245	68.8946	71.4697	74.0749	76.6396	79.1677	81.7131	84.2617	86.8376	89.3585	91.9088	94.5429
7	A7	GAPDH	SYBR	61.2087	63.7853	66.4287	69.0006	71.5739	74.1762	76.7454	79.2744	81.8215	84.3713	86.9679	89.4679	92.0244	94.6605
8	A8	GAPDH	SYBR	61.4429	64.0195	66.6629	69.2348	71.8081	74.4104	76.9796	79.5086	82.0557	84.6055	87.2021	89.7021	92.2586	94.8947
9	A9	GAPDH	SYBR	61.5531	64.1274	66.7697	69.3434	71.9175	74.5267	77.0915	79.62	82.1644	84.7163	87.3102	89.8147	92.3671	94.9998
10	A10	GAPDH	SYBR	61.7899	64.3642	67.0065	69.5802	72.1543	74.7635	77.3283	79.8568	82.4012	84.9531	87.547	90.0515	92.6039	95
11	A11	GAPDH	SYBR	61.8938	64.4714	67.1144	69.68	72.2519	74.8658	77.4205	79.9458	82.5019	85.0407	87.6447	90.1408	92.6928	95
12	A12	GAPDH	SYBR	62.137	64.7146	67.3576	69.9232	72.4951	75.109	77.6637	80.189	82.7451	85.2839	87.8879	90.384	92.936	95
13	B1	GAPDH	SYBR	60.2147	62.7814	65.4091	67.9925	70.5706	73.1877	75.7467	78.2836	80.8338	83.3859	85.9628	88.494	91.0525	93.6909
14	B2	GAPDH	SYBR	60.4301	62.9968	65.6245	68.2079	70.786	73.4031	75.9621	78.499	81.0492	83.6013	86.1782	88.7094	91.2679	93.9063
15	B3	GAPDH	SYBR	60.5551	63.14	65.775	68.3576	70.9345	73.5378	76.1062	78.6371	81.1842	83.7371	86.3132	88.8328	91.3931	94.0218
16	B4	GAPDH	SYBR	60.7641	63.349	65.984	68.5666	71.1435	73.7468	76.3152	78.8461	81.3932	83.9461	86.5222	89.0418	91.6021	94.2308
17	B5	GAPDH	SYBR	60.8963	63.4628	66.1041	68.6742	71.2493	73.8545	76.4192	78.9473	81.4927	84.0413	86.6172	89.1381	91.6884	94.3225
18	B6	GAPDH	SYBR	61.1027	63.6692	66.3105	68.8806	71.4557	74.0609	76.6256	79.1537	81.6991	84.2477	86.8236	89.3445	91.8948	94.5289
19	B7	OSM-9	SYBR	61.2226	63.7992	66.4426	69.0145	71.5878	74.1901	76.7593	79.2883	81.8354	84.3852	86.9818	89.4818	92.0383	94.6744
20	B8	OSM-9	SYBR	61.429	64.0056	66.649	69.2209	71.7942	74.3965	76.9657	79.4947	82.0418	84.5916	87.1882	89.6882	92.2447	94.8808
21	B9	OSM-9	SYBR	61.5671	64.1414	66.7837	69.3574	71.9315	74.5407	77.1055	79.634	82.1784	84.7303	87.3242	89.8287	92.3811	95
22	B10	OSM-9	SYBR	61.776	64.3503	66.9926	69.5663	72.1404	74.7496	77.3144	79.8429	82.3873	84.9392	87.5331	90.0376	92.59	95
23	B11	OSM-9	SYBR	61.9077	64.4853	67.1283	69.6939	72.2658	74.8797	77.4344	79.9597	82.5158	85.0546	87.6586	90.1547	92.7067	95
24	B12	OSM-9	SYBR	62.1231	64.7007	67.3437	69.9093	72.4812	75.0951	77.6498	80.1751	82.7312	85.27	87.874	90.3701	92.9221	95
25	C1	OSM-9	SYBR	60.223	62.7897	65.4174	68.0008	70.5789	73.196	75.755	78.2919	80.8421	83.3942	85.9711	88.5023	91.0608	93.6992
26	C2	OSM-9	SYBR	60.4217	62.9884	65.6161	68.1995	70.7776	73.3947	75.9537	78.4906	81.0408	83.5929	86.1698	88.701	91.2595	93.8979
27	C3	OSM-9	SYBR	60.5635	63.1484	65.7834	68.366	70.9429	73.5462	76.1146	78.6455	81.1926	83.7455	86.3216	88.8412	91.4015	94.0302
28	C4	OSM-9	SYBR	60.7558	63.3407	65.9757	68.5583	71.1352	73.7385	76.3069	78.8378	81.3849	83.9378	86.5139	89.0335	91.5938	94.2225
29	C5	OSM-9	SYBR	60.9047	63.4712	66.1125	68.6826	71.2577	73.8629	76.4276	78.9557	81.5011	84.0497	86.6256	89.1465	91.6968	94.3309
30	C6	OSM-9	SYBR	61.0944	63.6609	66.3022	68.8723	71.4474	74.0526	76.6173	79.1454	81.6908	84.2394	86.8153	89.3362	91.8865	94.5206
31	C7	OSM-9	SYBR	61.2309	63.8075	66.4509	69.0228	71.5961	74.1984	76.7676	79.2966	81.8437	84.3935	86.9901	89.4901	92.0466	94.6827
32	C8	OSM-9	SYBR	61.4207	63.9973	66.6407	69.2126	71.7859	74.3882	76.9574	79.4864	82.0335	84.5833	87.1799	89.6799	92.2364	94.8725
33	C9	OSM-9	SYBR	61.5754	64.1497	66.792	69.3657	71.9398	74.549	77.1138	79.6423	82.1867	84.7386	87.3325	89.837	92.3894	95
34	C10	OSM-9	SYBR	61.7677	64.342	66.9843	69.558	72.1321	74.7413	77.3061	79.8346	82.379	84.9309	87.5248	90.0293	92.5817	95
35	C11	OSM-9	SYBR	61.916	64.4936	67.1366	69.7022	72.2741	74.888	77.4427	79.968	82.5241	85.0629	87.6669	90.163	92.715	95
36	C12	OSM-9	SYBR	62.1147	64.6923	67.3353	69.9009	72.4728	75.0867	77.6414	80.1667	82.7228	85.2616	87.8656	90.3617	92.9137	95
37	D1	TAX-4	SYBR	60.2312	62.7979	65.4256	68.009	70.5871	73.2042	75.7632	78.3001	80.8503	83.4024	85.9793	88.5105	91.069	93.7074
38	D2	TAX-4	SYBR	60.4136	62.9803	65.608	68.1914	70.7695	73.3866	75.9456	78.4825	81.0327	83.5848	86.1617	88.6929	91.2514	93.8898
39	D3	TAX-4	SYBR	60.5716	63.1565	65.7915	68.3741	70.951	73.5543	76.1227	78.6536	81.2007	83.7536	86.3297	88.8493	91.4096	94.0383
40	D4	TAX-4	SYBR	60.7476	63.3325	65.9675	68.5501	71.127	73.7303	76.2987	78.8296	81.3767	83.9296	86.5057	89.0253	91.5856	94.2143
41	D5	TAX-4	SYBR	60.9128	63.4793	66.1206	68.6907	71.2658	73.871	76.4357	78.9638	81.5092	84.0578	86.6337	89.1546	91.7049	94.339
42	D6	TAX-4	SYBR	61.0863	63.6528	66.2941	68.8642	71.4393	74.0445	76.6092	79.1373	81.6827	84.2313	86.8072	89.3281	91.8784	94.5125
43	D7	TAX-4	SYBR	61.2391	63.8157	66.4591	69.031	71.6043	74.2066	76.7758	79.3048	81.8519	84.4017	86.9983	89.4983	92.0548	94.6909
44	D8	TAX-4	SYBR	61.4125	63.9891	66.6325	69.2044	71.7777	74.38	76.9492	79.4782	82.0253	84.5751	87.1717	89.6717	92.2282	94.8643
