* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = D:\Documents and Settings\Talaat\Desktop\Zamanian\Nic\20191023.eds
* Experiment Run End Time = 2019-10-23 13:53:42 PM CDT
* Instrument Type = steponeplus
* Passive Reference = ROX

[Amplification Data]
Well	Cycle	Target Name	Rn	ΔRn
A1	1	OSM-9	0.0147	-0.1049
A1	2	OSM-9	0.0499	-0.0715
A1	3	OSM-9	0.077	-0.0462
A1	4	OSM-9	0.0977	-0.0273
A1	5	OSM-9	0.1109	-0.0158
A1	6	OSM-9	0.1221	-0.0063
A1	7	OSM-9	0.1307	0.0005
A1	8	OSM-9	0.1364	0.0045
A1	9	OSM-9	0.1405	0.0068
A1	10	OSM-9	0.1433	0.0079
A1	11	OSM-9	0.147	0.0098
A1	12	OSM-9	0.1492	0.0103
A1	13	OSM-9	0.1523	0.0116
A1	14	OSM-9	0.1533	0.0109
A1	15	OSM-9	0.1554	0.0112
A1	16	OSM-9	0.1564	0.0105
A1	17	OSM-9	0.1576	0.0099
A1	18	OSM-9	0.1595	0.0101
A1	19	OSM-9	0.1608	0.0097
A1	20	OSM-9	0.1618	0.0089
A1	21	OSM-9	0.1621	0.0075
A1	22	OSM-9	0.1628	0.0064
A1	23	OSM-9	0.1635	0.0053
A1	24	OSM-9	0.1649	0.005
A1	25	OSM-9	0.1656	0.004
A1	26	OSM-9	0.1666	0.0032
A1	27	OSM-9	0.1667	0.0016
A1	28	OSM-9	0.1679	0.001
A1	29	OSM-9	0.1683	-0.0003
A1	30	OSM-9	0.1691	-0.0013
A1	31	OSM-9	0.17	-0.0022
A1	32	OSM-9	0.1701	-0.0038
A1	33	OSM-9	0.1702	-0.0054
A1	34	OSM-9	0.172	-0.0054
A1	35	OSM-9	0.1728	-0.0063
A1	36	OSM-9	0.1734	-0.0075
A1	37	OSM-9	0.1739	-0.0087
A1	38	OSM-9	0.1767	-0.0077
A1	39	OSM-9	0.1736	-0.0125
A1	40	OSM-9	0.1746	-0.0133
A2	1	OSM-9	0.1202	-0.0964
A2	2	OSM-9	0.1556	-0.063
A2	3	OSM-9	0.1815	-0.0391
A2	4	OSM-9	0.2005	-0.0222
A2	5	OSM-9	0.2131	-0.0115
A2	6	OSM-9	0.2222	-0.0044
A2	7	OSM-9	0.2283	-0.0004
A2	8	OSM-9	0.2342	0.0035
A2	9	OSM-9	0.2381	0.0054
A2	10	OSM-9	0.2422	0.0075
A2	11	OSM-9	0.2449	0.0082
A2	12	OSM-9	0.2474	0.0087
A2	13	OSM-9	0.2496	0.0089
A2	14	OSM-9	0.2518	0.0091
A2	15	OSM-9	0.2533	0.0086
A2	16	OSM-9	0.2547	0.008
A2	17	OSM-9	0.2572	0.0084
A2	18	OSM-9	0.2584	0.0077
A2	19	OSM-9	0.2594	0.0067
A2	20	OSM-9	0.2614	0.0066
A2	21	OSM-9	0.2634	0.0066
A2	22	OSM-9	0.2642	0.0055
A2	23	OSM-9	0.2661	0.0054
A2	24	OSM-9	0.2668	0.0041
A2	25	OSM-9	0.2681	0.0033
A2	26	OSM-9	0.2688	0.002
A2	27	OSM-9	0.2702	0.0015
A2	28	OSM-9	0.2722	0.0015
A2	29	OSM-9	0.2729	0.0001
A2	30	OSM-9	0.2744	-0.0003
A2	31	OSM-9	0.2749	-0.0019
A2	32	OSM-9	0.2759	-0.0029
A2	33	OSM-9	0.2772	-0.0036
A2	34	OSM-9	0.2793	-0.0035
A2	35	OSM-9	0.2791	-0.0057
A2	36	OSM-9	0.2812	-0.0056
A2	37	OSM-9	0.2812	-0.0076
A2	38	OSM-9	0.2826	-0.0082
A2	39	OSM-9	0.2826	-0.0102
A2	40	OSM-9	0.283	-0.0118
A3	1	OSM-9	0.0758	-0.1068
A3	2	OSM-9	0.106	-0.0791
A3	3	OSM-9	0.1335	-0.0542
A3	4	OSM-9	0.1562	-0.034
A3	5	OSM-9	0.1734	-0.0194
A3	6	OSM-9	0.1855	-0.0099
A3	7	OSM-9	0.1962	-0.0018
A3	8	OSM-9	0.203	0.0025
A3	9	OSM-9	0.2105	0.0074
A3	10	OSM-9	0.2149	0.0092
A3	11	OSM-9	0.2201	0.0119
A3	12	OSM-9	0.2237	0.0129
A3	13	OSM-9	0.2269	0.0135
A3	14	OSM-9	0.2297	0.0137
A3	15	OSM-9	0.2324	0.0139
A3	16	OSM-9	0.2349	0.0138
A3	17	OSM-9	0.237	0.0133
A3	18	OSM-9	0.2392	0.013
A3	19	OSM-9	0.2411	0.0123
A3	20	OSM-9	0.2427	0.0113
A3	21	OSM-9	0.245	0.011
A3	22	OSM-9	0.246	0.0095
A3	23	OSM-9	0.247	0.0079
A3	24	OSM-9	0.2487	0.0071
A3	25	OSM-9	0.2494	0.0052
A3	26	OSM-9	0.2507	0.0039
A3	27	OSM-9	0.252	0.0026
A3	28	OSM-9	0.2544	0.0024
A3	29	OSM-9	0.2554	0.0009
A3	30	OSM-9	0.2566	-0.0005
A3	31	OSM-9	0.2576	-0.002
A3	32	OSM-9	0.2586	-0.0037
A3	33	OSM-9	0.2595	-0.0052
A3	34	OSM-9	0.2603	-0.0071
A3	35	OSM-9	0.2615	-0.0084
A3	36	OSM-9	0.2621	-0.0104
A3	37	OSM-9	0.2625	-0.0125
A3	38	OSM-9	0.2637	-0.0139
A3	39	OSM-9	0.264	-0.0162
A3	40	OSM-9	0.2646	-0.0181
A4	1	OSM-9	0.1382	-0.1141
A4	2	OSM-9	0.1724	-0.083
A4	3	OSM-9	0.201	-0.0574
A4	4	OSM-9	0.2244	-0.0371
A4	5	OSM-9	0.2414	-0.0232
A4	6	OSM-9	0.2554	-0.0122
A4	7	OSM-9	0.2669	-0.0037
A4	8	OSM-9	0.2752	0.0015
A4	9	OSM-9	0.2833	0.0066
A4	10	OSM-9	0.2892	0.0094
A4	11	OSM-9	0.2937	0.0109
A4	12	OSM-9	0.2998	0.014
A4	13	OSM-9	0.3033	0.0144
A4	14	OSM-9	0.3057	0.0137
A4	15	OSM-9	0.3095	0.0145
A4	16	OSM-9	0.3135	0.0155
A4	17	OSM-9	0.3165	0.0154
A4	18	OSM-9	0.3196	0.0155
A4	19	OSM-9	0.3228	0.0156
A4	20	OSM-9	0.3246	0.0144
A4	21	OSM-9	0.327	0.0137
A4	22	OSM-9	0.3279	0.0116
A4	23	OSM-9	0.3305	0.0111
A4	24	OSM-9	0.332	0.0096
A4	25	OSM-9	0.3335	0.0081
A4	26	OSM-9	0.3349	0.0064
A4	27	OSM-9	0.336	0.0044
A4	28	OSM-9	0.3372	0.0026
A4	29	OSM-9	0.3385	0.0009
A4	30	OSM-9	0.3406	-0.0001
A4	31	OSM-9	0.3424	-0.0013
A4	32	OSM-9	0.3421	-0.0047
A4	33	OSM-9	0.3443	-0.0055
A4	34	OSM-9	0.3442	-0.0086
A4	35	OSM-9	0.3458	-0.0101
A4	36	OSM-9	0.3459	-0.0131
A4	37	OSM-9	0.346	-0.016
A4	38	OSM-9	0.3479	-0.0171
A4	39	OSM-9	0.3485	-0.0196
A4	40	OSM-9	0.3491	-0.0221
A5	1	OSM-9	0.0618	-0.0849
A5	2	OSM-9	0.1009	-0.0516
A5	3	OSM-9	0.1341	-0.0243
A5	4	OSM-9	0.1554	-0.0088
A5	5	OSM-9	0.1699	-0.0001
A5	6	OSM-9	0.181	0.0052
A5	7	OSM-9	0.1909	0.0092
A5	8	OSM-9	0.1969	0.0094
A5	9	OSM-9	0.2031	0.0097
A5	10	OSM-9	0.2094	0.0102
A5	11	OSM-9	0.2119	0.0069
A5	12	OSM-9	0.2155	0.0047
A5	13	OSM-9	0.2194	0.0028
A5	14	OSM-9	0.223	0.0006
A5	15	OSM-9	0.2254	-0.0029
A5	16	OSM-9	0.227	-0.0071
A5	17	OSM-9	0.2316	-0.0083
A5	18	OSM-9	0.2386	-0.0072
A5	19	OSM-9	0.2476	-0.004
A5	20	OSM-9	0.2619	0.0045
A5	21	OSM-9	0.2915	0.0282
A5	22	OSM-9	0.3407	0.0716
A5	23	OSM-9	0.422	0.1471
A5	24	OSM-9	0.5532	0.2724
A5	25	OSM-9	0.7348	0.4482
A5	26	OSM-9	0.9585	0.6661
A5	27	OSM-9	1.1906	0.8924
A5	28	OSM-9	1.4188	1.1147
A5	29	OSM-9	1.6157	1.3058
A5	30	OSM-9	1.7962	1.4805
A5	31	OSM-9	1.9555	1.6339
A5	32	OSM-9	2.0968	1.7694
A5	33	OSM-9	2.2256	1.8924
A5	34	OSM-9	2.3485	2.0094
A5	35	OSM-9	2.4511	2.1063
A5	36	OSM-9	2.55	2.1993
A5	37	OSM-9	2.6307	2.2741
A5	38	OSM-9	2.712	2.3496
A5	39	OSM-9	2.7783	2.4101
A5	40	OSM-9	2.8531	2.4791
A6	1	OSM-9	0.0831	-0.0669
A6	2	OSM-9	0.1147	-0.04
A6	3	OSM-9	0.1403	-0.019
A6	4	OSM-9	0.1574	-0.0066
A6	5	OSM-9	0.1698	0.0012
A6	6	OSM-9	0.1782	0.0049
A6	7	OSM-9	0.184	0.006
A6	8	OSM-9	0.1906	0.008
A6	9	OSM-9	0.1942	0.0069
A6	10	OSM-9	0.1986	0.0067
A6	11	OSM-9	0.2022	0.0056
A6	12	OSM-9	0.205	0.0037
A6	13	OSM-9	0.2073	0.0013
A6	14	OSM-9	0.2098	-0.0008
A6	15	OSM-9	0.2123	-0.003
A6	16	OSM-9	0.2162	-0.0037
A6	17	OSM-9	0.2186	-0.006
A6	18	OSM-9	0.2241	-0.0052
A6	19	OSM-9	0.2341	0.0002
A6	20	OSM-9	0.2476	0.009
A6	21	OSM-9	0.2726	0.0294
A6	22	OSM-9	0.3185	0.0706
A6	23	OSM-9	0.3986	0.146
A6	24	OSM-9	0.5252	0.268
A6	25	OSM-9	0.7023	0.4404
A6	26	OSM-9	0.9197	0.6532
A6	27	OSM-9	1.1496	0.8784
A6	28	OSM-9	1.3707	1.0949
A6	29	OSM-9	1.5696	1.2891
A6	30	OSM-9	1.7447	1.4595
A6	31	OSM-9	1.9002	1.6104
A6	32	OSM-9	2.0415	1.747
A6	33	OSM-9	2.1702	1.871
A6	34	OSM-9	2.2837	1.9799
A6	35	OSM-9	2.3889	2.0804
A6	36	OSM-9	2.4837	2.1705
A6	37	OSM-9	2.5647	2.2468
A6	38	OSM-9	2.6453	2.3228
A6	39	OSM-9	2.714	2.3869
A6	40	OSM-9	2.7814	2.4496
A7	1	OSM-9	0.1469	-0.0883
A7	2	OSM-9	0.1926	-0.047
A7	3	OSM-9	0.2213	-0.0226
A7	4	OSM-9	0.2418	-0.0064
A7	5	OSM-9	0.254	0.0015
A7	6	OSM-9	0.2621	0.0052
A7	7	OSM-9	0.2688	0.0077
A7	8	OSM-9	0.2738	0.0084
A7	9	OSM-9	0.2783	0.0085
A7	10	OSM-9	0.2812	0.0071
A7	11	OSM-9	0.2839	0.0055
A7	12	OSM-9	0.2861	0.0033
A7	13	OSM-9	0.2888	0.0018
A7	14	OSM-9	0.2914	0
A7	15	OSM-9	0.2933	-0.0024
A7	16	OSM-9	0.295	-0.005
A7	17	OSM-9	0.2991	-0.0053
A7	18	OSM-9	0.3014	-0.0073
A7	19	OSM-9	0.3081	-0.0049
A7	20	OSM-9	0.3182	0.0009
A7	21	OSM-9	0.3376	0.0159
A7	22	OSM-9	0.3694	0.0435
A7	23	OSM-9	0.4269	0.0967
A7	24	OSM-9	0.5248	0.1902
A7	25	OSM-9	0.6724	0.3335
A7	26	OSM-9	0.8698	0.5266
A7	27	OSM-9	1.0959	0.7484
A7	28	OSM-9	1.3233	0.9714
A7	29	OSM-9	1.536	1.1799
A7	30	OSM-9	1.7294	1.3689
A7	31	OSM-9	1.9048	1.54
A7	32	OSM-9	2.058	1.6889
A7	33	OSM-9	2.1966	1.8232
A7	34	OSM-9	2.3297	1.952
A7	35	OSM-9	2.4394	2.0574
A7	36	OSM-9	2.5452	2.1588
A7	37	OSM-9	2.6444	2.2537
A7	38	OSM-9	2.7353	2.3403
A7	39	OSM-9	2.8122	2.4128
A7	40	OSM-9	2.881	2.4773
A8	1	OSM-9	0.1775	-0.0891
A8	2	OSM-9	0.2241	-0.0469
A8	3	OSM-9	0.2534	-0.022
A8	4	OSM-9	0.2728	-0.007
A8	5	OSM-9	0.2856	0.0013
A8	6	OSM-9	0.2949	0.0062
A8	7	OSM-9	0.3008	0.0077
A8	8	OSM-9	0.3056	0.008
A8	9	OSM-9	0.3098	0.0078
A8	10	OSM-9	0.3135	0.0071
A8	11	OSM-9	0.316	0.0052
A8	12	OSM-9	0.3191	0.0039
A8	13	OSM-9	0.3214	0.0018
A8	14	OSM-9	0.3237	-0.0003
A8	15	OSM-9	0.3263	-0.0021
A8	16	OSM-9	0.3279	-0.0049
A8	17	OSM-9	0.3311	-0.0061
A8	18	OSM-9	0.3352	-0.0065
A8	19	OSM-9	0.341	-0.0051
A8	20	OSM-9	0.3515	0.0009
A8	21	OSM-9	0.3709	0.016
A8	22	OSM-9	0.404	0.0447
A8	23	OSM-9	0.4633	0.0995
A8	24	OSM-9	0.562	0.1939
A8	25	OSM-9	0.7106	0.338
A8	26	OSM-9	0.9094	0.5324
A8	27	OSM-9	1.1363	0.7549
A8	28	OSM-9	1.3639	0.978
A8	29	OSM-9	1.5777	1.1874
A8	30	OSM-9	1.7717	1.377
A8	31	OSM-9	1.9441	1.545
A8	32	OSM-9	2.0958	1.6923
A8	33	OSM-9	2.2368	1.8289
A8	34	OSM-9	2.3633	1.951
A8	35	OSM-9	2.4734	2.0566
A8	36	OSM-9	2.5775	2.1564
A8	37	OSM-9	2.6751	2.2495
A8	38	OSM-9	2.7637	2.3337
A8	39	OSM-9	2.8439	2.4095
A8	40	OSM-9	2.9147	2.4759
A9	1	OSM-9	0.1393	-0.091
A9	2	OSM-9	0.1843	-0.0516
A9	3	OSM-9	0.2164	-0.0249
A9	4	OSM-9	0.2386	-0.0081
A9	5	OSM-9	0.2542	0.002
