* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = D:\Documents and Settings\Talaat\Desktop\Zamanian\Nic\20191023.eds
* Experiment Run End Time = 2019-10-23 13:53:42 PM CDT
* Instrument Type = steponeplus
* Passive Reference = ROX

[Melt Region Derivative Data]
Well	Well Location	Target	Reporter Dye	Reading 1	Reading 2	Reading 3	Reading 4	Reading 5	Reading 6	Reading 7	Reading 8	Reading 9	Reading 10	Reading 11	Reading 12	Reading 13
1	A1	OSM-9	SYBR	698.798	675.6462	616.1642	570.5818	555.0706	491.432	426.8988	389.6697	357.9738	348.9529	311.6857	276.5733	276.5717
2	A2	OSM-9	SYBR	1022.8075	934.1022	867.2751	793.063	726.7064	659.566	579.4716	512.4167	551.3284	471.3842	427.0987	379.4503	379.4527
3	A3	OSM-9	SYBR	870.0851	784.7584	727.2186	683.7927	631.7325	584.0706	509.487	464.8839	441.1853	392.7852	367.2761	313.8171	313.8152
4	A4	OSM-9	SYBR	969.0757	893.9832	814.115	664.1182	700.1498	661.1616	554.8405	489.835	474.0575	415.0129	421.0472	343.2193	343.2195
5	A5	OSM-9	SYBR	3271.4697	3212.0769	3205.095	3132.7888	3313.343	3269.9858	3816.1755	26333.2168	814.9155	490.2536	420.0125	365.1376	365.1355
6	A6	OSM-9	SYBR	2675.0642	2626.3708	2545.6497	2493.53	2481.5601	2502.2283	2955.5891	19510.5352	589.0818	385.0077	321.3488	288.062	288.0603
7	A7	OSM-9	SYBR	3698.0176	3498.929	3448.7546	3370.5259	3579.4443	3615.6257	4963.2061	27850.9668	909.7886	562.1675	475.9297	424.4629	424.4605
8	A8	OSM-9	SYBR	3400.8398	3356.0947	3529.5437	3682.2534	3863.7688	3778.4131	5459.9111	29269.7305	942.7848	573.16	524.7324	448.6491	448.6516
9	A9	OSM-9	SYBR	2403.3301	2843.8823	3219.8037	3264.3306	3668.8208	3669.9927	5868.8096	29790.625	892.6597	560.5716	502.9878	448.2825	448.2826
10	A10	OSM-9	SYBR	2801.0894	2765.344	3100.9565	3523.9631	3823.3528	4168.1743	7001.1411	32993.3828	957.7281	620.0064	546.8361	505.7549	505.7549
17	B5	OSM-9	SYBR	2700.429	2833.9331	3017.7234	2811.1597	3019.4065	2776.5708	3500.7952	22710.8203	633.5005	465.8917	407.8186	347.7318	347.7319
18	B6	OSM-9	SYBR	3064.1685	2976.1511	3022.821	2940.4783	3152.1826	3160.9695	4049.1829	23314.3125	744.961	523.106	431.5654	373.8755	373.8755
19	B7	OSM-9	SYBR	4040.7778	3848.2	3933.9314	3733.4634	3950.4453	4096.7871	5334.564	27952.2617	819.4657	569.6812	499.6547	443.6377	443.6403
20	B8	OSM-9	SYBR	3687.4968	3574.5566	3790.7954	3612.231	3952.8188	4150.0215	5752.0962	29552.8262	947.7492	626.2267	514.6733	465.9042	465.9016
21	B9	OSM-9	SYBR	2010.6763	2612.1943	2938.7136	3102.1741	3594.6094	3898.8049	5973.0239	29580.4824	822.3478	575.163	522.0214	468.9295	468.9295
22	B10	OSM-9	SYBR	2507.2542	2861.8894	3082.4998	3156.6929	3607.8127	4164.6128	6873.2036	31154.5059	811.1826	588.5582	540.2347	497.8508	497.851
25	C1	TAX-4	SYBR	804.8502	732.0381	537.6175	596.2137	614.451	524.7695	434.5778	435.6534	428.9603	369.5143	347.2529	266.1087	266.1087
26	C2	TAX-4	SYBR	1339.4219	1144.7124	1009.5278	902.314	808.082	738.1422	728.9116	655.3135	594.933	464.5696	450.8282	397.014	397.0117
27	C3	TAX-4	SYBR	1124.2706	976.73	901.2217	831.835	708.7295	726.6559	611.7993	577.9	540.8726	448.5942	411.7437	364.1109	364.113
28	C4	TAX-4	SYBR	1205.2205	1054.9939	867.4122	861.1161	857.8344	633.6332	693.2302	629.7922	607.6265	538.7347	427.5599	417.0819	417.0818
29	C5	TAX-4	SYBR	3663.5305	3331.6155	2808.6143	2740.5928	2594.2715	3459.1021	21282.4453	2557.9277	1741.9612	651.8087	473.4052	402.9464	402.9488
30	C6	TAX-4	SYBR	2592.2251	2437.6199	1868.5592	2184.4998	2667.448	2916.1375	19040.0488	1641.9502	1202.7849	623.4974	435.8136	378.8988	378.9009
31	C7	TAX-4	SYBR	2118.7019	1871.7131	1715.2817	1994.104	2340.1074	2212.2532	14847.6934	686.7164	562.0826	499.5777	416.0172	368.3426	368.3448
32	C8	TAX-4	SYBR	2052.2771	1860.4192	1966.0687	2446.8901	3107.1665	3537.5037	21734.8711	857.9351	775.1378	628.5712	606.4988	502.2589	502.2586
33	C9	TAX-4	SYBR	2370.4998	2374.4543	2288.6069	2509.5864	3452.4417	4800.6924	26000.9902	1806.0012	1081.0712	609.9295	516.1163	470.6973	470.6977
34	C10	TAX-4	SYBR	2448.8582	2503.3665	2388.9492	2546.1218	3400.4133	4859.0327	26829.7676	2053.6267	1528.324	563.2393	553.5678	515.9255	515.9257
37	D1	OCR-1/2a	SYBR	698.8876	669.58	567.108	551.7381	581.9441	490.3398	429.4704	428.2155	361.3758	381.4835	334.288	254.4046	254.4061
38	D2	OCR-1/2a	SYBR	1166.3219	978.6198	863.4131	753.5388	667.1528	651.7376	600.7462	585.4686	463.6084	445.836	398.5425	332.1397	332.1397
39	D3	OCR-1/2a	SYBR	843.4187	824.7015	750.3726	735.9554	635.7967	557.6004	533.8157	507.6665	479.5713	387.8521	381.5952	313.847	313.847
40	D4	OCR-1/2a	SYBR	1024.4026	899.126	825.7289	732.78	746.4724	589.5548	538.7711	574.2234	510.5082	446.7208	368.0615	335.6982	335.7001
41	D5	OCR-1/2a	SYBR	1050.9857	1353.1553	943.861	1058.8667	1160.5635	952.566	2508.4277	685.3944	512.601	499.963	433.6431	381.4375	381.4376
42	D6	OCR-1/2a	SYBR	835.8316	849.0853	769.027	733.1758	634.2096	645.5898	1792.3152	462.7284	397.8582	365.3392	308.2654	265.7581	265.7581
43	D7	OCR-1/2a	SYBR	1711.9402	1651.6381	1607.1315	1496.3948	1469.3037	1483.3853	5385.1353	677.6524	592.5927	518.8272	444.115	418.9837	418.9863
44	D8	OCR-1/2a	SYBR	1600.8894	1679.4398	1568.5878	1567.9458	1506.6818	1560.3444	5750.5664	665.3904	633.428	511.9322	475.9675	397.2286	397.226
45	D9	OCR-1/2a	SYBR	1516.0692	1605.8176	1649.3463	1636.4323	1769.3103	2023.2661	7940.6865	718.9753	634.9785	576.1614	482.612	423.1207	423.1205
46	D10	OCR-1/2a	SYBR	1391.7307	1628.0231	1643.4487	1660.885	1719.9615	2140.4744	7909.0249	701.0959	648.1311	533.0096	482.6157	450.7529	450.7531
49	E1	Y45F10D.4	SYBR	2096.063	2559.0554	2308.0725	2352.1863	2482.0767	2554.1628	2005.2319	3491.1721	32057.1738	2921.6611	433.2742	347.7769	347.7769
50	E2	Y45F10D.4	SYBR	3317.345	3116.9607	3012.9138	2437.114	2773.2249	3209.8694	3288.0654	3993.3696	32683.2676	1375.0129	429.1574	353.9968	353.9989
51	E3	Y45F10D.4	SYBR	2366.4104	2445.7756	2393.3562	2327.6978	2509.4219	2528.3508	2776.1338	2955.0107	28452.3242	1051.6731	382.7952	290.6985	290.6967
52	E4	Y45F10D.4	SYBR	3772.5007	3496.8931	3719.4106	2985.4507	3643.3855	3545.7659	3971.843	4935.0972	43278.8711	1169.774	551.1618	442.0367	442.0366
53	E5	Y45F10D.4	SYBR	2731.0391	2394.5396	2741.2913	2967.0852	3963.6829	3638.7598	4349.7788	5440.9082	44041.6094	1175.345	549.9112	458.2491	458.2463
54	E6	Y45F10D.4	SYBR	3314.1611	3616.3311	2922.6753	3138.0959	2901.2136	3032.3423	3601.6389	4190.0337	34353.3516	777.6028	430.3509	357.1957	357.1936
55	E7	Y45F10D.4	SYBR	4039.7883	3504.0305	3466.79	3125.6504	3351.9014	3706.3684	4287.1235	5610.9507	41675.6406	766.5276	540.882	450.2026	450.2027
56	E8	Y45F10D.4	SYBR	4079.2295	3615.5872	3028.6633	3179.4504	2852.7729	2472.9875	4390.3506	5477.4131	37695.0586	635.5717	489.1433	401.8902	401.8902
57	E9	Y45F10D.4	SYBR	2698.3296	2683.3457	2549.533	2679.6187	3591.7849	3995.3496	4662.2935	6608.6055	46769.2188	799.5504	618.864	496.4283	496.4283
58	E10	Y45F10D.4	SYBR	3121.8367	2650.7317	2733.1101	3369.5984	3575.1643	4463.0513	5459.8364	8168.6875	48325.5859	791.0533	626.5203	558.9656	558.9623
61	F1	Y45F10D.4	SYBR	1789.9204	2434.1211	2261.8623	2249.9646	2320.1082	2447.8271	2321.4932	2883.0605	28295.1387	3165.6292	387.017	309.2864	309.2882
62	F2	Y45F10D.4	SYBR	2056.2549	2196.0732	1844.4265	2127.302	2207.8113	2478.4978	2882.4495	3655.3765	31832.0059	1598.9735	431.0828	372.3575	372.3573
63	F3	Y45F10D.4	SYBR	1611.1639	2339.8027	2235.502	2006.3052	2464.3372	2196.5505	2169.6252	3294.5527	27009.8242	1068.5791	347.4255	287.014	287.014
64	F4	Y45F10D.4	SYBR	2690.5798	2480.3196	2734.0806	2162.1255	2660.7471	2710.8918	2781.0181	3774.696	34519.5742	891.9484	477.7581	359.172	359.1741
65	F5	Y45F10D.4	SYBR	3789.0732	2738.8088	3614.377	2852.0723	2663.6035	2494.5042	3915.7966	4370.7197	36620.4766	997.7767	462.3612	403.414	403.4139
