* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = D:\Documents and Settings\Talaat\Desktop\Zamanian\Nic\20191023.eds
* Experiment Run End Time = 2019-10-23 13:53:42 PM CDT
* Instrument Type = steponeplus
* Passive Reference = ROX

[Melt Region Normalized Data]
Well	Well Location	Target	Reporter Dye	Reading 1	Reading 2	Reading 3	Reading 4	Reading 5	Reading 6	Reading 7	Reading 8	Reading 9	Reading 10	Reading 11	Reading 12	Reading 13
1	A1	OSM-9	SYBR	12510.2891	10708.791	8940.0127	7332.4448	5836.4341	4372.877	3100.8054	1949.6322	884.9734	-68.3142	-982.2228	-1793.9106	-2511.2009
2	A2	OSM-9	SYBR	21486.0918	18849.2969	16403.9043	14141.1758	12061.8418	10145.7314	8438.4443	6875.8442	5475.8228	4007.6379	2773.0813	1660.83	676.7231
3	A3	OSM-9	SYBR	17672.5586	15418.1719	13364.6953	11460.9072	9672.0342	7996.4912	6489.9976	5115.5576	3839.1199	2668.8374	1637.9321	682.2444	-131.3883
4	A4	OSM-9	SYBR	21847.5371	19336.666	16997.3809	14866.1055	13128.7041	11271.6992	9566.3652	8069.5771	6724.6387	5467.1523	4377.9087	3282.3035	2392.4395
5	A5	OSM-9	SYBR	137876.4062	129456.625	121040.6484	112659.9922	104478.7188	95685.4375	87254.4062	76965.9922	4794.3486	2633.3604	1353.8953	257.2843	-685.7521
6	A6	OSM-9	SYBR	104351.3984	97466.5938	90585.2422	83928.8984	77417.0625	70831.25	64379.7305	56411.4688	2938.7991	1376.6747	371.8808	-467.1292	-1211.1034
7	A7	OSM-9	SYBR	152671.0781	143092.8438	133919.6875	124908.4375	116104.2656	106608	97279.7344	83884.0078	7494.4409	5084.1313	3610.9724	2370.5095	1270.2194
8	A8	OSM-9	SYBR	160915.5	152107.0156	143308.3281	134085.9844	124467.5547	114216.9688	104468.6484	89732.3203	9451.3643	6953.6377	5451.6641	4084.002	2921.01
9	A9	OSM-9	SYBR	155899.9062	149707.25	142240.0781	133811.9375	125289.0938	115576.5859	106075.7422	90309.2344	8325.4688	5967.5947	4499.3447	3184.0825	2026.6166
10	A10	OSM-9	SYBR	173319.4531	166101.8906	158840.9062	150723.8281	141523.1094	131401.5156	120610.9766	101802.4688	11004.7197	8474.9736	6851.0522	5421.1313	4115.272
17	B5	OSM-9	SYBR	122138.4219	115188.3203	107763.1406	99872.4219	92531.0547	84517.8516	77359.0391	67920.8984	5677.5317	3997.6191	2781.7339	1716.96	818.8719
