* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = D:\Documents and Settings\Talaat\Desktop\Zamanian\Nic\20191023.eds
* Experiment Run End Time = 2019-10-23 13:53:42 PM CDT
* Instrument Type = steponeplus
* Passive Reference = ROX

[Melt Region Temperature Data]
Well	Well Location	Target	Reporter Dye	Reading 1	Reading 2	Reading 3	Reading 4	Reading 5	Reading 6	Reading 7	Reading 8	Reading 9	Reading 10	Reading 11	Reading 12	Reading 13
1	A1	OSM-9	SYBR	60.1896	62.7676	65.3855	67.9945	70.6164	73.2531	75.8416	78.5382	81.2704	83.9334	86.5524	89.1566	91.7501
2	A2	OSM-9	SYBR	60.4328	63.0108	65.6287	68.2377	70.8596	73.4963	76.0848	78.7814	81.5136	84.1766	86.7956	89.3998	91.9933
3	A3	OSM-9	SYBR	60.5362	63.1272	65.7439	68.3618	70.9779	73.6302	76.2095	78.9072	81.6529	84.3055	86.9301	89.5322	92.1249
4	A4	OSM-9	SYBR	60.773	63.364	65.9807	68.5986	71.2147	73.867	76.4463	79.144	81.8897	84.5423	87.1669	89.769	92.3617
5	A5	OSM-9	SYBR	60.8817	63.4554	66.0755	68.6903	71.3018	73.9557	76.534	79.23	81.9707	84.6225	87.2323	89.8432	92.4259
6	A6	OSM-9	SYBR	61.116	63.6897	66.3098	68.9246	71.5361	74.19	76.7683	79.4643	82.205	84.8568	87.4666	90.0775	92.6602
7	A7	OSM-9	SYBR	61.201	63.7911	66.4128	69.0257	71.6378	74.2908	76.8708	79.5698	82.3126	84.9619	87.5824	90.1888	92.781
8	A8	OSM-9	SYBR	61.4352	64.0253	66.647	69.2599	71.872	74.525	77.105	79.804	82.5468	85.1961	87.8166	90.423	93.0152
9	A9	OSM-9	SYBR	61.5634	64.1401	66.7658	69.3834	71.9943	74.6416	77.2304	79.9169	82.6689	85.3103	87.9295	90.5444	93.1264
10	A10	OSM-9	SYBR	61.8002	64.3769	67.0026	69.6202	72.2311	74.8784	77.4672	80.1537	82.9057	85.5471	88.1663	90.7812	93.3632
17	B5	OSM-9	SYBR	60.8956	63.4693	66.0894	68.7042	71.3157	73.9696	76.5479	79.2439	81.9846	84.6364	87.2462	89.8571	92.4398
18	B6	OSM-9	SYBR	61.102	63.6757	66.2958	68.9106	71.5221	74.176	76.7543	79.4503	82.191	84.8428	87.4526	90.0635	92.6462
19	B7	OSM-9	SYBR	61.2149	63.805	66.4267	69.0396	71.6517	74.3047	76.8847	79.5837	82.3265	84.9758	87.5963	90.2027	92.7949
20	B8	OSM-9	SYBR	61.4213	64.0114	66.6331	69.246	71.8581	74.5111	77.0911	79.7901	82.5329	85.1822	87.8027	90.4091	93.0013
21	B9	OSM-9	SYBR	61.5774	64.1541	66.7798	69.3974	72.0083	74.6556	77.2444	79.9309	82.6829	85.3243	87.9435	90.5584	93.1404
22	B10	OSM-9	SYBR	61.7863	64.363	66.9887	69.6063	72.2172	74.8645	77.4533	80.1398	82.8918	85.5332	88.1524	90.7673	93.3493
25	C1	TAX-4	SYBR	60.2118	62.7898	65.4077	68.0167	70.6386	73.2753	75.8638	78.5604	81.2926	83.9556	86.5746	89.1788	91.7723
26	C2	TAX-4	SYBR	60.4105	62.9885	65.6064	68.2154	70.8373	73.474	76.0625	78.7591	81.4913	84.1543	86.7733	89.3775	91.971
27	C3	TAX-4	SYBR	60.5585	63.1495	65.7662	68.3841	71.0002	73.6525	76.2318	78.9295	81.6752	84.3278	86.9524	89.5545	92.1472
28	C4	TAX-4	SYBR	60.7508	63.3418	65.9585	68.5764	71.1925	73.8448	76.4241	79.1218	81.8675	84.5201	87.1447	89.7468	92.3395
29	C5	TAX-4	SYBR	60.904	63.4777	66.0978	68.7126	71.3241	73.978	76.5563	79.2523	81.993	84.6448	87.2546	89.8655	92.4482
30	C6	TAX-4	SYBR	61.0937	63.6674	66.2875	68.9023	71.5138	74.1677	76.746	79.442	82.1827	84.8345	87.4443	90.0552	92.6379
31	C7	TAX-4	SYBR	61.2232	63.8133	66.435	69.0479	71.66	74.313	76.893	79.592	82.3348	84.9841	87.6046	90.211	92.8032
32	C8	TAX-4	SYBR	61.413	64.0031	66.6248	69.2377	71.8498	74.5028	77.0828	79.7818	82.5246	85.1739	87.7944	90.4008	92.993
33	C9	TAX-4	SYBR	61.5857	64.1624	66.7881	69.4057	72.0166	74.6639	77.2527	79.9392	82.6912	85.3326	87.9518	90.5667	93.1487
34	C10	TAX-4	SYBR	61.778	64.3547	66.9804	69.598	72.2089	74.8562	77.445	80.1315	82.8835	85.5249	88.1441	90.759	93.341
37	D1	OCR-1/2a	SYBR	60.22	62.798	65.4159	68.0249	70.6468	73.2835	75.872	78.5686	81.3008	83.9638	86.5828	89.187	91.7805
38	D2	OCR-1/2a	SYBR	60.4024	62.9804	65.5983	68.2073	70.8292	73.4659	76.0544	78.751	81.4832	84.1462	86.7652	89.3694	91.9629
39	D3	OCR-1/2a	SYBR	60.5666	63.1576	65.7743	68.3922	71.0083	73.6606	76.2399	78.9376	81.6833	84.3359	86.9605	89.5626	92.1553
40	D4	OCR-1/2a	SYBR	60.7426	63.3336	65.9503	68.5682	71.1843	73.8366	76.4159	79.1136	81.8593	84.5119	87.1365	89.7386	92.3313
41	D5	OCR-1/2a	SYBR	60.9121	63.4858	66.1059	68.7207	71.3322	73.9861	76.5644	79.2604	82.0011	84.6529	87.2627	89.8736	92.4563
42	D6	OCR-1/2a	SYBR	61.0856	63.6593	66.2794	68.8942	71.5057	74.1596	76.7379	79.4339	82.1746	84.8264	87.4362	90.0471	92.6298
43	D7	OCR-1/2a	SYBR	61.2314	63.8215	66.4432	69.0561	71.6682	74.3212	76.9012	79.6002	82.343	84.9923	87.6128	90.2192	92.8114
44	D8	OCR-1/2a	SYBR	61.4048	63.9949	66.6166	69.2295	71.8416	74.4946	77.0746	79.7736	82.5164	85.1657	87.7862	90.3926	92.9848
45	D9	OCR-1/2a	SYBR	61.5938	64.1705	66.7962	69.4138	72.0247	74.672	77.2608	79.9473	82.6993	85.3407	87.9599	90.5748	93.1568
