* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = D:\Documents and Settings\Talaat\Desktop\Zamanian\Nic\20191023.eds
* Experiment Run End Time = 2019-10-23 13:53:42 PM CDT
* Instrument Type = steponeplus
* Passive Reference = ROX

[Sample Setup]
Well	Sample Name	Sample Color	Biogroup Name	Biogroup Color	Target Name	Target Color	Task	Reporter	Quencher	Quantity	Comments
A1	N2	"RGB(132,193,241)"			OSM-9	"RGB(139,189,249)"	UNKNOWN	SYBR	None		
A2	N2	"RGB(132,193,241)"			OSM-9	"RGB(139,189,249)"	UNKNOWN	SYBR	None		
A3	CX10	"RGB(168,255,222)"			OSM-9	"RGB(139,189,249)"	UNKNOWN	SYBR	None		
A4	CX10	"RGB(168,255,222)"			OSM-9	"RGB(139,189,249)"	UNKNOWN	SYBR	None		
A5	ZAM13A	"RGB(247,255,168)"			OSM-9	"RGB(139,189,249)"	UNKNOWN	SYBR	None		
A6	ZAM13A	"RGB(247,255,168)"			OSM-9	"RGB(139,189,249)"	UNKNOWN	SYBR	None		
A7	ZAM13B	"RGB(180,255,0)"			OSM-9	"RGB(139,189,249)"	UNKNOWN	SYBR	None		
A8	ZAM13B	"RGB(180,255,0)"			OSM-9	"RGB(139,189,249)"	UNKNOWN	SYBR	None		
A9	ZAM13C	"RGB(255,204,153)"			OSM-9	"RGB(139,189,249)"	UNKNOWN	SYBR	None		
A10	ZAM13C	"RGB(255,204,153)"			OSM-9	"RGB(139,189,249)"	UNKNOWN	SYBR	None		
A11											
A12											
B1											
B2											
B3											
B4											
B5	ZAM17A	"RGB(132,193,241)"			OSM-9	"RGB(139,189,249)"	UNKNOWN	SYBR	None		
B6	ZAM17A	"RGB(132,193,241)"			OSM-9	"RGB(139,189,249)"	UNKNOWN	SYBR	None		
B7	ZAM17B	"RGB(168,255,222)"			OSM-9	"RGB(139,189,249)"	UNKNOWN	SYBR	None		
B8	ZAM17B	"RGB(168,255,222)"			OSM-9	"RGB(139,189,249)"	UNKNOWN	SYBR	None		
B9	ZAM17C	"RGB(223,221,142)"			OSM-9	"RGB(139,189,249)"	UNKNOWN	SYBR	None		
B10	ZAM17C	"RGB(223,221,142)"			OSM-9	"RGB(139,189,249)"	UNKNOWN	SYBR	None		
B11											
B12											
C1	N2	"RGB(132,193,241)"			TAX-4	"RGB(208,243,98)"	UNKNOWN	SYBR	None		
C2	N2	"RGB(132,193,241)"			TAX-4	"RGB(208,243,98)"	UNKNOWN	SYBR	None		
C3	PR678	"RGB(223,221,142)"			TAX-4	"RGB(208,243,98)"	UNKNOWN	SYBR	None		
C4	PR678	"RGB(223,221,142)"			TAX-4	"RGB(208,243,98)"	UNKNOWN	SYBR	None		
C5	ZAM14A	"RGB(253,138,88)"			TAX-4	"RGB(208,243,98)"	UNKNOWN	SYBR	None		
C6	ZAM14A	"RGB(253,138,88)"			TAX-4	"RGB(208,243,98)"	UNKNOWN	SYBR	None		
C7	ZAM14B	"RGB(213,244,165)"			TAX-4	"RGB(208,243,98)"	UNKNOWN	SYBR	None		
C8	ZAM14B	"RGB(213,244,165)"			TAX-4	"RGB(208,243,98)"	UNKNOWN	SYBR	None		
C9	ZAM14C	"RGB(96,255,160)"			TAX-4	"RGB(208,243,98)"	UNKNOWN	SYBR	None		
