"Species","Transcript_ID","Family","Superfamily"
"haemonchus_contortus","HCON_00129880","srw","Solo"
"ascaris_suum","AgB09X_g105_t01","srxa","Srg"
"nippostrongylus_brasiliensis","NBR_0000031901","srbc","Solo"
"romanomermis_culicivorax","nRc.2.0.1.t12186","srsx","Solo"
"rhabditophanes_kr3021","RSKR_0000344500.1","sro","Solo"
"caenorhabditis_elegans","D1022.6","sro","Solo"
"caenorhabditis_elegans","H12I19.7","srz","Solo"
"panagrellus_redivivus","Pan_g7095.t1","srv","Srg"
"romanomermis_culicivorax","nRc.2.0.1.t02287","srv","Srg"
"romanomermis_culicivorax","nRc.2.0.1.t33076","srv","Srg"
"pristionchus_pacificus","PPA41106","srv","Srg"
"caenorhabditis_elegans","F48D6.2a","srv","Srg"
"panagrellus_redivivus","Pan_g15278.t1","srv","Srg"
"strongyloides_ratti","SRAE_2000512000","srv","Srg"
"pristionchus_pacificus","PPA41600","srv","Srg"
"panagrellus_redivivus","Pan_g21544.t1","sru","Srg"
"caenorhabditis_elegans","C34C6.1","srg","Srg"
"caenorhabditis_elegans","C13D9.3","srr","Solo"
"caenorhabditis_elegans","Y46H3A.1b","srt","Srg"
"caenorhabditis_elegans","K09D9.10","srx","Srg"
"caenorhabditis_elegans","F58A6.6","srb","Sra"
"caenorhabditis_elegans","W05H5.6","sre","Sra"
"caenorhabditis_elegans","AH6.11","sra","Sra"
"panagrellus_redivivus","Pan_g3039.t1","srab","Sra"
"pristionchus_pacificus","PPA41235","srn","Str"
"rhabditophanes_kr3021","RSKR_0000350750.1","srh","Str"
"panagrellus_redivivus","Pan_g7019.t1","srh","Str"
"panagrellus_redivivus","Pan_g19410.t1","srh","Str"
"caenorhabditis_elegans","K02E2.3","srh","Str"
"pristionchus_pacificus","PPA30699","sri","Str"
"caenorhabditis_elegans","R04D3.8","srd","Str"
"panagrellus_redivivus","Pan_g13270.t1","srd","Str"
"panagrellus_redivivus","Pan_g15515.t1","four","Str"
"meloidogyne_hapla","MhA1_Contig106.frz3.gene9","four","Str"
"panagrellus_redivivus","Pan_g18434.t2","four","Str"
"panagrellus_redivivus","Pan_g23590.t1","four","Str"
"panagrellus_redivivus","Pan_g14285.t1","four","Str"
"panagrellus_redivivus","Pan_g10678.t1","four","Str"
"panagrellus_redivivus","Pan_g16312.t1","four","Str"
"strongyloides_ratti","SRAE_0000024500","four","Str"
